header,symbol,price,price_change,price_percent_change
0,ADTX,8.29,3.92,89.7
1,HMR,3.63,0.93,34.37
2,BHAT,3.24,0.71,28.1
3,USAR,18.0,3.88,27.42
4,FEAM,4.64,0.93,25.09
5,PHH,9.81,1.92,24.33
6,RGC,22.54,4.04,21.86
7,SMTK,3.38,0.57,20.54
8,GRO,3.22,0.55,20.45
9,MI,2.63,0.43,19.55
10,FINV,10.82,1.7,18.64
11,ALTI,2.97,0.45,17.86
12,HURA,2.83,0.41,16.94
13,HROW,27.22,3.9,16.7
14,NIU,4.04,0.54,15.24
15,TIGR,9.13,1.16,14.56
16,PHAT,5.54,0.7,14.42
17,QUBT,9.14,1.12,13.97
18,LCID,2.45,0.29,13.43
19,ZEPP,3.61,0.42,13.17
20,TNXP,18.4,2.12,12.99
21,TME,14.72,1.66,12.67
22,LAZR,7.17,0.75,11.68
23,HYMC,3.29,0.33,11.15
24,RGNX,7.78,0.78,11.14
25,ESLT,410.34,41.08,11.12
26,CRVO,10.05,1.0,11.05
27,MRP,24.32,2.33,10.57
28,COEP,9.38,0.88,10.29
29,YHC,2.33,0.21,9.91
30,WKSP,3.82,0.34,9.86
31,LAR,2.52,0.23,9.78
32,HRTG,14.04,1.25,9.77
33,IHS,4.28,0.37,9.46
34,NEXT,7.92,0.67,9.24
35,MTSR,30.9,2.52,8.86
36,CANG,4.62,0.36,8.45
37,WOW,4.61,0.35,8.35
38,ESEA,29.6,2.25,8.23
39,CNL,9.23,0.7,8.21
40,HFFG,2.64,0.2,8.2
41,ELAB,4.58,0.34,8.15
42,WLDS,2.6,0.2,8.09
43,DRD,14.57,1.08,8.03
44,TRVI,7.06,0.52,7.95
45,BRFS,3.44,0.25,7.84
46,HUMA,3.24,0.23,7.59
47,QMCO,23.1,1.61,7.49
48,TMCI,8.52,0.55,6.9
49,OPRX,8.83,0.56,6.77
50,EXK,5.12,0.32,6.56
51,NRXP,2.18,0.13,6.33
52,BJDX,4.32,0.26,6.27
53,LPTH,2.23,0.13,6.19
54,MUX,8.0,0.47,6.18
55,ORN,5.92,0.34,6.09
56,RIVN,11.69,0.67,6.05
57,ALDX,6.69,0.38,6.02
58,CCIR,12.18,0.68,5.91
59,BTMD,4.23,0.23,5.75
60,SBSW,4.32,0.23,5.5
61,USAU,9.99,0.52,5.49
62,LENZ,24.83,1.24,5.26
63,EVTL,4.27,0.21,5.17
64,WKHS,2.13,0.1,5.17
65,JVA,5.09,0.25,5.17
66,ALHC,16.91,0.82,5.1
67,CNX,32.3,1.56,5.09
68,INVE,3.36,0.16,5.0
69,RCEL,9.48,0.45,4.98
70,FSM,6.04,0.28,4.96
71,CDE,6.74,0.31,4.85
72,PROP,6.1,0.28,4.81
73,CVEO,21.72,0.98,4.75
74,INR,18.02,0.79,4.59
75,NIO,5.26,0.23,4.57
76,RDW,11.48,0.5,4.52
77,SAVA,2.9,0.13,4.5
78,SEI,21.36,0.9,4.4
79,DB,24.98,1.03,4.32
80,VLN,2.21,0.09,4.25
81,YALA,5.16,0.21,4.24
82,BTU,13.91,0.56,4.19
83,MCRP,4.2,0.17,4.17
84,VVX,51.18,2.03,4.13
85,IPGP,65.93,2.61,4.12
86,MBC,13.94,0.55,4.07
87,AU,34.33,1.34,4.06
88,GRAB,4.63,0.18,4.04
89,AG,7.38,0.28,4.02
90,SPCE,3.61,0.14,4.01
91,AMRC,12.02,0.46,3.94
92,MLTX,40.18,1.51,3.9
93,ABVX,6.23,0.23,3.83
94,VZLA,2.45,0.09,3.81
95,SKE,11.22,0.41,3.79
96,HNRG,11.91,0.43,3.75
97,SAN,7.14,0.26,3.71
98,SITM,176.7,6.24,3.66
99,FENC,6.55,0.23,3.64
