header,symbol,price,price_change,price_percent_change
174,MAC,16.83,0.51,3.13
175,BPMC,90.50,2.74,3.12
176,FICO,"1,777.83",54.98,3.19
177,TLK,15.01,0.45,3.10
178,BA,158.80,4.74,3.08
179,NOG,28.80,0.85,3.04
180,LITE,64.02,1.97,3.17
181,AAP,37.61,1.09,2.97
182,SYF,53.61,1.62,3.12
183,COF,170.46,5.06,3.06
184,CRGY,10.73,0.34,3.27
185,TECH,60.24,1.76,3.02
