header,symbol,price,price_change,price_percent_change
0,HSAI,24.08,8.07,50.41
1,PAY,30.95,6.27,25.41
2,GH,42.63,6.79,18.95
3,ZK,32.88,5.16,18.63
4,NIO,5.21,0.75,16.82
5,RDDT,123.01,15.72,14.65
6,XPEV,26.33,3.38,14.75
7,KC,18.09,1.79,10.98
8,SMCI,40.84,3.94,10.68
9,BE,25.01,2.39,10.57
10,TEVA,16.11,1.44,9.85
11,CRDO,43.36,3.91,9.91
12,LKNCY,30.67,2.63,9.38
13,LEGN,37.19,3.16,9.29
14,MSTR,260.59,21.32,8.91
15,IAG,5.55,0.44,8.61
16,MDB,195.70,15.38,8.53
17,SARO,28.55,2.25,8.56
18,LUV,30.56,2.38,8.44
19,APP,257.76,19.68,8.27
20,FTAI,105.58,7.89,8.08
21,LITE,62.05,4.64,8.08
22,ORLA,7.83,0.58,8.00
23,SMNEY,59.38,4.3,7.82
24,MTN,165.37,11.79,7.67
25,NXT,44.94,3.23,7.74
26,KFY,67.26,4.74,7.58
27,CORZ,8.63,0.62,7.74
28,OKLO,25.48,1.79,7.56
29,UEC,5.06,0.29,6.10
30,RGEN,147.13,10.14,7.40
31,APGE,40.27,2.73,7.27
32,IMPUY,6.68,0.46,7.40
33,CALX,31.49,2.09,7.11
34,TDS,34.43,2.25,6.99
35,COIN,191.69,12.46,6.95
36,GRND,16.30,1.06,6.95
37,ALAB,66.05,4.35,7.05
38,LI,29.49,1.93,7.00
39,TXNM,51.21,3.34,6.98
40,CLS,86.61,5.46,6.74
41,ESTC,97.13,5.95,6.53
42,CRWD,329.75,20.89,6.76
43,ICUI,138.99,8.94,6.87
44,PTGX,59.76,3.81,6.81
45,HBM,7.05,0.45,6.74
46,TAC,9.33,0.57,6.51
47,COKE,"1,303.52",75.92,6.18
48,TWST,39.13,2.42,6.59
49,VRT,83.06,5.04,6.46
50,STEP,50.90,3.09,6.46
51,CDE,5.47,0.34,6.53
52,TLN,176.56,10.81,6.52
53,PRIM,64.32,3.81,6.30
54,GDS,38.78,2.37,6.51
55,BHVN,29.42,1.79,6.48
56,SAABY,19.36,1.15,6.32
57,ROOT,135.89,7.98,6.24
58,SM,29.09,1.72,6.28
59,IRTC,103.91,5.91,6.03
60,KGS,35.35,2.09,6.28
61,OR,19.06,1.11,6.18
62,QFIN,40.75,2.33,6.06
63,COHR,66.48,3.67,5.84
64,CYBR,330.95,18.15,5.80
65,AROC,24.05,1.33,5.83
66,PTEN,7.80,0.42,5.69
67,BHF,53.34,2.86,5.67
68,KGC,11.16,0.6,5.73
69,BWIN,40.45,2.19,5.72
70,IOT,35.93,1.87,5.49
71,MMYT,89.66,4.71,5.54
72,RVMD,38.89,2.07,5.62
73,LIVN,39.06,2.04,5.51
74,HL,5.43,0.28,5.53
75,NTRA,140.02,7.39,5.57
76,ATAT,30.36,1.57,5.45
77,ASND,145.92,7.74,5.60
78,X,37.02,1.88,5.35
79,MTZ,114.41,5.75,5.29
80,DY,144.23,7.48,5.47
81,VST,114.32,5.83,5.38
82,FN,197.95,10.07,5.36
83,MIR,14.19,0.68,5.00
84,SATS,26.50,1.32,5.24
85,EQX,6.60,0.34,5.43
86,AKRO,43.82,2.14,5.13
87,SCHYY,23.78,1.18,5.22
88,ACVA,13.78,0.68,5.19
89,USM,64.71,2.91,4.72
90,GEV,284.14,14.01,5.18
