header,symbol,price,price_change,price_percent_change
0,VTVT,23.4,8.55,57.58
1,ARQQ,23.63,8.63,57.53
2,MGRM,3.65,1.32,56.72
3,NAOV,3.34,1.13,51.41
4,RGC,18.92,6.3,49.92
5,QNTM,7.16,2.27,46.42
6,CRVO,9.04,2.6,40.38
7,RHLD,44.96,12.89,40.19
8,QMCO,21.48,6.13,39.99
9,SMTK,2.8,0.68,32.08
10,MTEN,7.41,1.73,30.46
11,GES,12.64,2.94,30.31
12,NIU,3.52,0.8,29.41
13,LAZR,6.44,1.39,27.52
14,CURR,2.55,0.52,25.62
15,NCSM,33.41,6.65,24.85
16,UMAC,7.95,1.55,24.22
17,XPOF,9.2,1.75,23.39
18,AIFF,5.24,0.98,23.18
19,IVDA,2.84,0.51,21.89
20,DGNX,64.16,11.35,21.49
21,WGRX,3.49,0.59,20.34
22,RDHL,3.06,0.5,19.53
23,CAPS,2.98,0.48,19.24
24,CSAI,6.08,0.98,19.22
25,HCAI,9.98,1.58,18.87
26,ATLN,5.86,0.92,18.62
27,DPRO,2.91,0.43,17.34
28,IPDN,2.67,0.38,16.59
29,MFH,6.01,0.83,16.02
30,SOWG,2.85,0.39,15.95
31,EXOD,32.51,4.46,15.9
32,KSCP,4.96,0.66,15.35
33,KMTS,24.53,3.26,15.33
34,LWAY,23.12,3.06,15.25
35,ARTV,5.87,0.77,15.1
36,EVTL,4.05,0.53,15.06
37,RITR,3.77,0.48,14.59
38,APPS,3.83,0.48,14.33
39,ATLX,6.22,0.77,14.13
40,REBN,4.77,0.58,13.79
41,GANX,2.39,0.28,13.41
42,BBNX,16.63,1.96,13.36
43,CANG,4.28,0.5,13.23
44,UBXG,4.41,0.51,13.19
45,SATL,4.04,0.47,13.15
46,LAES,3.76,0.43,13.1
47,QUBT,8.01,0.92,12.91
48,JUNE,6.5,0.74,12.85
49,HSAI,22.29,2.49,12.58
50,MTSR,28.35,3.14,12.46
51,SRFM,4.12,0.45,12.26
52,MAXN,4.14,0.45,12.2
53,ARQT,16.4,1.78,12.18
54,YSG,5.87,0.63,12.02
55,STIM,5.06,0.54,11.95
56,DNA,7.78,0.81,11.69
57,CTGO,10.59,1.1,11.59
58,NEOV,2.66,0.28,11.51
59,MASS,4.58,0.47,11.44
60,VRA,2.74,0.28,11.38
61,LUD,4.85,0.49,11.19
62,MPAA,11.59,1.16,11.12
63,MWYN,4.69,0.46,10.91
64,OPAL,2.1,0.2,10.85
65,DM,2.76,0.27,10.84
66,LZMH,10.23,1.0,10.83
67,MIST,2.4,0.23,10.83
68,SNCR,12.06,1.17,10.74
69,MASK,3.3,0.32,10.74
70,AEYE,12.54,1.2,10.58
71,CELH,29.92,2.84,10.49
72,ALAR,8.22,0.78,10.48
73,GWH,3.59,0.34,10.46
74,CALM,91.69,8.66,10.43
75,ASND,168.89,15.91,10.4
76,QBTS,11.2,1.05,10.39
77,PHAT,4.86,0.45,10.09
78,HPP,3.02,0.28,10.0
79,SYTA,2.2,0.2,9.99
80,SHCO,6.53,0.59,9.93
81,AMRC,11.58,1.04,9.87
82,UFG,5.25,0.47,9.83
83,IPI,29.18,2.6,9.8
84,ENPH,63.8,5.67,9.75
85,FIP,5.26,0.47,9.69
86,DUOT,6.46,0.57,9.68
87,CIA,5.12,0.45,9.64
88,FSI,5.65,0.49,9.57
89,DLO,9.44,0.82,9.57
90,RETO,4.73,0.41,9.49
91,IMTX,4.98,0.43,9.45
92,CSBR,10.1,0.87,9.43
93,DEC,13.08,1.13,9.41
94,CLMT,13.2,1.14,9.41
95,SNOA,3.86,0.33,9.35
96,BTG,3.24,0.28,9.29
97,GNLX,3.72,0.32,9.26
98,INSE,9.14,0.77,9.2
99,TBH,5.3,0.45,9.17
