header,symbol,price,price_change,price_percent_change
0,HSAI,22.43,6.42,40.10
1,PAY,30.76,6.08,24.66
2,GH,40.78,4.94,13.76
3,XPEV,26.06,3.11,13.55
4,ZK,31.25,3.53,12.73
5,LKNCY,31.09,3.05,10.90
6,RDDT,118.72,11.43,10.65
7,KC,17.87,1.57,9.63
8,KFY,68.36,5.84,9.33
9,OKLO,25.96,2.27,9.58
10,LUV,30.67,2.49,8.85
11,TEVA,15.95,1.28,8.76
12,LITE,62.15,4.74,8.26
13,GRND,16.50,1.26,8.27
14,MTN,165.71,12.12,7.89
15,IAG,5.50,0.39,7.63
16,QFIN,41.10,2.68,6.96
17,SARO,28.11,1.82,6.90
18,CRWD,329.37,20.51,6.64
19,CRDO,42.10,2.65,6.72
20,ROOT,136.44,8.53,6.67
21,SMCI,39.36,2.46,6.67
22,TXNM,51.01,3.14,6.55
23,ORLA,7.73,0.48,6.62
24,LEGN,36.24,2.21,6.49
25,MDB,192.27,11.95,6.63
26,AROC,24.18,1.47,6.45
27,LI,29.29,1.73,6.28
28,COIN,190.59,11.36,6.34
29,IMPUY,6.60,0.38,6.11
30,GEV,287.43,17.3,6.40
31,BE,24.05,1.43,6.32
32,ESTC,96.53,5.35,5.87
33,VRT,82.74,4.72,6.05
34,NXT,44.25,2.54,6.09
35,SATS,26.61,1.43,5.68
36,FTAI,103.29,5.6,5.74
37,KGS,35.12,1.86,5.58
38,SMNEY,58.15,3.07,5.57
39,CORZ,8.46,0.45,5.62
40,COKE,"1,292.24",64.64,5.27
41,TDS,33.93,1.75,5.44
42,TKAMY,9.47,0.46,5.11
43,TLN,174.33,8.58,5.18
44,APP,250.50,12.42,5.22
45,OR,18.86,0.91,5.07
46,CDE,5.38,0.25,4.92
47,IRTC,102.84,4.84,4.94
48,CRK,18.58,0.91,5.15
49,JBLU,5.79,0.28,4.99
50,COHR,65.83,3.02,4.82
51,SM,28.73,1.35,4.96
52,IOT,35.71,1.65,4.83
53,HOOD,37.30,1.67,4.68
54,CALX,30.79,1.39,4.73
55,CYBR,327.57,14.77,4.72
56,PRIM,63.28,2.77,4.58
57,FUTU,110.89,4.83,4.55
58,BURBY,13.42,0.57,4.44
59,NOW,817.34,33.51,4.28
60,CRS,179.95,7.56,4.38
61,MTZ,113.12,4.46,4.10
62,HBM,6.88,0.28,4.24
63,MMYT,88.51,3.56,4.19
64,BABA,137.76,5.22,3.94
65,KGC,11.00,0.44,4.13
66,NRG,88.30,3.48,4.10
67,BILI,22.69,0.89,4.06
68,TWST,38.24,1.53,4.17
69,XIACY,34.48,1.3,3.92
70,SPOT,508.65,19.41,3.97
71,X,36.52,1.38,3.93
72,FIX,325.56,12.3,3.93
73,ECG,39.74,1.5,3.94
74,LMND,33.99,1.29,3.94
75,PTEN,7.68,0.3,4.08
76,GWRE,173.38,6.64,3.98
77,NFLX,898.98,32.3,3.73
78,CLS,84.40,3.25,4.00
79,HL,5.34,0.19,3.79
80,DTM,90.24,3.29,3.78
81,ZS,202.12,7.43,3.82
82,BHF,52.49,2.01,3.99
83,AR,35.99,1.31,3.76
84,ALAB,64.00,2.3,3.73
85,SMTC,32.60,1.16,3.69
86,RRC,37.80,1.34,3.68
87,RGEN,141.98,4.99,3.64
88,STRL,115.12,4.04,3.64
89,HIMS,35.70,1.23,3.57
90,HMY,11.91,0.4,3.48
91,EME,374.81,13.65,3.78
92,ODD,44.26,1.84,4.34
93,WRBY,21.01,0.73,3.62
94,MTDR,46.69,1.67,3.71
95,FLR,35.57,1.28,3.73
96,STEP,49.58,1.77,3.70
97,LIVN,38.24,1.22,3.30
98,AVGO,191.18,6.73,3.65
99,LNSTY,36.12,1.22,3.50
100,MSTR,247.60,8.33,3.48
101,AGI,23.85,0.8,3.47
102,FSLR,137.65,4.54,3.41
103,PANW,179.90,6.07,3.49
104,ATAT,29.76,0.97,3.37
105,INTA,59.11,1.9,3.32
106,AS,26.47,0.86,3.38
107,AEM,100.21,3.18,3.28
108,ATGE,92.79,2.91,3.23
109,BEKE,23.17,0.7,3.14
110,ADMA,17.15,0.53,3.22
111,EQT,49.06,1.57,3.31
112,TPG,48.01,1.51,3.25
113,NTRA,136.82,4.19,3.16
114,YMM,12.59,0.4,3.24
115,NET,120.26,3.65,3.13
116,RKLB,17.70,0.58,3.39
117,ET,17.81,0.55,3.19
118,PR,12.73,0.4,3.29
119,PRCT,59.38,1.79,3.12
120,GTLS,146.40,4.4,3.10
121,BZ,17.92,0.51,2.93
122,PWR,244.52,7.81,3.30
123,OKTA,108.54,3.35,3.18
124,GLNG,32.01,0.92,2.94
125,KNTK,51.08,1.57,3.17
126,PLTR,78.81,2.43,3.18
127,ACVA,13.53,0.43,3.28
128,ICUI,134.02,3.97,3.05
129,DASH,183.50,5.64,3.17
130,AU,31.58,0.94,3.07
