header,symbol,price,price_change,price_percent_change
0,INTC,23.84,3.16,15.31
1,FN,225.90,24.02,11.90
2,DLTR,65.81,3.89,6.27
3,DG,78.65,3.8,5.08
4,NEM,45.90,2.27,5.20
5,MRCY,44.16,2.06,4.89
6,BVN,14.26,0.61,4.51
7,SSRM,10.68,0.44,4.25
8,XPEV,25.70,0.97,3.92
9,ALGM,25.91,0.97,3.89
10,FCX,38.20,1.42,3.86
11,AES,12.26,0.43,3.63
12,SLNO,48.49,1.78,3.82
13,ORLA,8.14,0.29,3.69
14,CDE,5.93,0.22,3.77
15,VOD,9.49,0.34,3.66
16,EGO,15.16,0.52,3.52
17,ALKT,25.10,0.82,3.38
18,FIS,70.38,2.26,3.32
19,GOLD,18.94,0.6,3.27
20,AU,32.66,1.01,3.19
21,SCCO,93.15,2.82,3.12
22,OR,19.56,0.59,3.11
23,HL,5.79,0.22,3.95
