header,symbol,price,price_change,price_percent_change
0,PTGX,55.95,17.6,45.89
1,VRN,5.62,0.72,14.56
2,KTOS,29.92,2.62,9.62
3,ELF,76.99,6.31,8.93
4,DNBBF,25.62,1.99,8.42
5,MWA,27.08,2.03,8.10
6,BECN,119.41,8.31,7.48
7,TNXP,13.98,0.95,7.33
8,ENPH,66.32,4.69,7.61
9,AAP,37.45,2.08,5.88
10,AMKBY,9.62,0.5,5.48
11,HOG,27.43,1.34,5.16
12,WSC,29.61,1.54,5.49
13,TTC,76.88,3.63,4.96
14,BLTE,66.35,3.16,5.00
15,SCI,84.91,4.05,5.01
16,REGN,742.99,35.48,5.01
17,ETSY,49.05,2.25,4.81
18,DFH,26.52,1.15,4.52
19,NSP,94.64,4.28,4.73
20,CBT,88.78,3.9,4.59
21,DRPRY,6.21,0.27,4.55
22,AES,11.76,0.51,4.49
23,RMD,242.95,10.51,4.52
24,COTY,6.11,0.26,4.36
25,HCA,344.46,14.31,4.33
26,MKC,86.14,3.51,4.25
27,COLM,87.39,3.43,4.09
28,EQNR,24.14,0.97,4.20
29,TSCO,59.18,2.29,4.02
30,SMCAY,19.60,0.75,3.98
31,CTSH,86.60,3.37,4.05
32,MEDP,346.63,13.82,4.15
33,ADM,51.32,1.88,3.80
34,WES,40.44,1.52,3.91
35,BF-B,38.32,1.39,3.76
36,MRNA,36.99,1.38,3.88
37,NOC,504.45,17.93,3.69
38,CPB,43.35,1.53,3.67
39,LNTH,110.24,3.9,3.67
40,NOG,28.50,1.01,3.66
41,CAG,28.16,0.93,3.40
42,IBP,183.24,6.2,3.50
43,FIZZ,42.29,1.42,3.47
44,CWEN-A,26.82,0.9,3.47
45,RRC,36.47,1.25,3.56
46,AWK,150.29,4.89,3.36
47,GIS,66.59,2.09,3.24
48,PAYC,219.80,7.15,3.36
49,EXEL,39.87,1.28,3.33
50,OGN,15.97,0.53,3.43
51,MOH,337.97,10.64,3.25
52,TGTX,39.63,1.19,3.09
53,FND,94.29,3.08,3.38
54,PCAR,113.70,3.64,3.31
55,DVA,151.75,4.73,3.22
56,HSY,190.83,5.77,3.12
57,AR,34.70,1.06,3.15
58,JJSF,142.64,4.26,3.08
59,ORA,72.77,2.13,3.02
60,INSP,189.48,6.19,3.38
61,CWEN,28.47,0.85,3.08
62,TAP,63.74,1.88,3.05
63,UAA,7.32,0.24,3.32
64,PPC,56.23,1.61,2.95
65,KVUE,24.09,0.67,2.88
