header,symbol,price,price_change,price_percent_change
0,IBO,4.78,2.7,129.81
1,ALUR,3.57,1.29,56.58
2,GLTO,6.1,1.96,47.34
3,LSB,2.77,0.72,35.12
4,CLIK,2.76,0.71,34.63
5,AMPX,3.1,0.8,34.42
6,LAZR,8.35,2.07,32.96
7,OUST,11.05,2.67,31.86
8,FLD,8.42,2.0,31.15
9,RGC,58.63,13.63,30.29
10,TNXP,23.03,4.84,26.61
11,HUHU,5.96,1.22,25.74
12,CRVO,14.29,2.73,23.62
13,BGM,10.99,2.05,22.93
14,PHH,13.48,2.45,22.21
15,ONEG,2.94,0.49,20.0
16,GRI,8.27,1.27,18.14
17,ZYBT,4.75,0.72,17.87
18,SNWV,37.61,5.61,17.53
19,AUID,7.38,1.1,17.52
20,NAYA,2.74,0.4,17.09
21,JUNE,8.97,1.25,16.14
22,KUKE,2.9,0.4,16.0
23,VERO,3.1,0.42,15.89
24,NTRP,5.24,0.69,15.16
25,TTNP,4.19,0.54,14.8
26,TRVG,5.4,0.68,14.41
27,CHCI,7.74,0.96,14.16
28,CLEU,2.58,0.3,13.16
29,SCHL,21.22,2.42,12.87
30,BKKT,11.86,1.34,12.74
31,ZSPC,11.38,1.28,12.67
32,SMTK,3.4,0.38,12.58
33,GDC,2.64,0.29,12.34
34,TELO,4.56,0.48,11.76
35,ALNY,283.34,29.8,11.75
36,IHS,5.25,0.55,11.7
37,LODE,2.81,0.29,11.51
38,OABI,2.53,0.26,11.45
39,INV,8.18,0.82,11.14
40,UCAR,2.82,0.27,10.59
41,IE,7.0,0.67,10.58
42,EPWK,5.24,0.5,10.55
43,AGL,4.53,0.42,10.37
44,WOLF,6.3,0.56,9.76
45,NUKK,17.58,1.56,9.74
46,NVCT,10.2,0.85,9.09
47,MASK,4.1,0.34,9.04
48,WKEY,4.63,0.38,8.94
49,GRAL,30.29,2.48,8.92
50,MASS,4.53,0.37,8.89
51,TBH,6.29,0.51,8.82
52,KRRO,23.76,1.86,8.49
53,ADPT,8.4,0.65,8.39
54,FBRX,8.17,0.63,8.36
55,AIXI,4.18,0.31,8.01
56,AARD,9.91,0.73,7.95
57,SSP,3.26,0.24,7.95
58,WGS,104.39,7.68,7.94
59,NFE,11.17,0.82,7.92
60,International,33.8,2.45,7.81
61,SMCI,42.15,3.05,7.8
62,ICU,2.22,0.16,7.77
63,ELTX,8.75,0.63,7.76
64,JYD,5.0,0.36,7.76
65,MWYN,4.3,0.3,7.53
66,CNNE,18.76,1.3,7.48
67,WKSP,3.64,0.25,7.37
68,CATO,3.5,0.23,7.21
69,ZH,4.79,0.32,7.16
70,XERS,5.81,0.38,7.0
71,MTEN,5.74,0.38,6.99
72,KBSX,3.1,0.2,6.9
73,TEM,51.35,3.31,6.89
74,RDHL,2.99,0.19,6.79
75,PTON,6.96,0.44,6.75
76,EP,6.1,0.39,6.73
77,ICAD,2.23,0.14,6.7
78,TERN,3.35,0.21,6.69
79,PLCE,8.8,0.55,6.67
80,IDN,2.72,0.17,6.67
81,W,33.65,2.1,6.66
82,RIVN,11.6,0.72,6.62
83,RFIL,4.97,0.3,6.54
84,CDLX,2.48,0.15,6.44
85,RDDT,115.69,6.94,6.38
86,GRRR,25.15,1.48,6.25
87,PRCH,6.8,0.4,6.25
88,UMAC,7.32,0.42,6.17
89,ENVX,8.45,0.49,6.16
90,LCID,2.42,0.14,6.14
91,EVC,2.16,0.13,6.13
92,SDA,4.69,0.27,6.11
93,ROKU,78.29,4.47,6.06
94,CTEV,21.1,1.2,6.03
95,LPRO,3.26,0.18,5.85
96,HIMS,34.78,1.91,5.81
97,BLBX,4.02,0.22,5.79
98,RPID,2.59,0.14,5.71
99,OTLY,10.02,0.54,5.7
