header,symbol,price,price_change,price_percent_change
0,ANGI,15.99,0.39,2.50
1,TNXP,31.40,8.37,36.09
2,TEM,55.45,4.1,7.98
3,PTON,7.16,0.2,2.95
4,W,35.10,1.44,4.28
5,RIVN,11.80,0.19,1.68
6,RDDT,120.67,4.97,4.30
7,ROKU,80.10,1.81,2.31
8,HIMS,35.26,0.51,1.47
9,COHR,72.69,4.45,6.52
10,OTLY,9.90,-0.12,-1.25
11,TREX,62.53,3.1,5.21
12,FMCC,5.44,0.28,5.43
13,CELH,33.50,0.57,1.73
14,ACHR,8.88,0.16,1.82
15,IONQ,23.41,1.15,5.17
16,GME,25.31,0.56,2.26
17,ROOT,171.00,10.74,6.66
18,CVNA,202.50,11.55,6.05
19,CHWY,34.54,0.68,2.02
20,MUFG,14.70,-0.27,-1.83
21,ASTS,26.82,1.11,4.29
22,PLTR,93.34,2.38,2.62
23,HBM,8.44,0.29,3.56
24,CLS,99.58,3.63,3.78
25,CORZ,8.86,0.35,4.17
26,MSTR,312.49,8.49,2.79
27,UPST,53.99,2.03,3.91
28,STVN,22.51,0.84,3.88
29,NXE,5.09,0.16,3.35
30,TSLA,257.83,9.12,3.67
31,MARA,12.91,0.53,4.28
32,DSNKY,24.82,0.9,3.76
33,APPN,31.23,0.44,1.43
34,VFC,17.03,0.66,4.03
35,GENI,10.78,0.37,3.52
36,AFRM,51.87,1.97,3.95
37,ALAB,73.82,2.72,3.83
38,TEO,11.31,-0.01,-0.04
39,U,22.53,0.98,4.55
40,SYM,22.87,0.48,2.14
41,COMP,9.47,0.08,0.85
42,CCL,21.66,0.72,3.44
43,ZK,26.42,-0.64,-2.33
44,WGS,107.82,3.43,3.29
45,CART,40.22,1.32,3.39
46,SHOP,108.14,3.93,3.77
47,BRBR,73.36,2.71,3.84
48,GRND,17.96,0.62,3.58
49,ASAN,14.85,0.4,2.77
50,LTH,31.62,0.95,3.10
51,BBAR,19.51,0.49,2.58
52,PINS,33.80,1.38,4.26
53,RIOT,8.22,0.27,3.37
54,AMD,109.58,3.14,2.95
55,TNL,48.63,1.45,3.07
56,RXRX,6.82,0.14,2.08
57,NBIS,27.78,0.8,2.97
58,ANET,85.58,2.45,2.95
59,BA,182.50,4.39,2.46
60,VLY,9.12,0.27,3.05
