header,symbol,price,price_change,price_percent_change
0,PTGX,54.08,15.74,41.03
1,VRN,5.70,0.79,15.99
2,ELF,76.88,6.2,8.77
3,TNXP,14.10,1.08,8.29
4,KTOS,29.49,2.2,8.06
5,BECN,119.31,8.21,7.39
6,HOG,27.80,1.71,6.55
7,MWA,26.66,1.61,6.43
8,NSP,95.64,5.28,5.85
9,COLM,88.83,4.87,5.80
10,ADM,52.28,2.84,5.74
11,EQNR,24.43,1.26,5.46
12,AMKBY,9.62,0.5,5.48
13,TTC,77.18,3.93,5.36
14,AQN,5.05,0.25,5.21
15,PAYC,223.55,10.9,5.13
16,HCA,346.23,16.08,4.87
17,AAP,37.16,1.79,5.06
18,UAA,7.41,0.34,4.73
19,PCAR,114.93,4.87,4.42
20,BF-B,38.80,1.87,5.06
21,REGN,743.29,35.78,5.06
22,TSCO,59.59,2.7,4.75
23,CPB,43.79,1.98,4.74
24,DVA,153.45,6.43,4.37
25,ALB,78.96,3.45,4.57
26,IPG,29.46,1.28,4.54
27,CAG,28.49,1.26,4.61
28,UA,6.72,0.28,4.35
29,CBT,88.50,3.62,4.26
30,OMC,88.74,3.74,4.39
31,MEDP,347.36,14.55,4.37
32,NOC,507.80,21.28,4.37
33,BF-A,38.21,1.62,4.43
34,AES,11.73,0.48,4.22
35,FND,95.24,4.03,4.42
36,SCI,84.39,3.53,4.36
37,LMT,493.53,19.88,4.20
38,DFH,26.42,1.05,4.14
39,GIS,67.24,2.74,4.25
40,VICI,34.01,1.35,4.15
41,BIIB,156.70,6.32,4.20
42,HSY,193.35,8.29,4.48
43,MDLZ,70.51,2.78,4.10
44,FLO,20.19,0.79,4.07
45,MKC,86.01,3.39,4.10
46,CSGP,82.53,3.14,3.96
47,ENPH,64.02,2.39,3.88
48,AWK,151.27,5.87,4.04
49,HSIC,77.65,3.06,4.10
50,ED,107.90,4.26,4.12
51,WSC,29.14,1.07,3.81
52,HII,203.66,7.69,3.92
53,TAP,64.21,2.35,3.80
54,JJSF,143.76,5.38,3.89
55,KVUE,24.33,0.91,3.91
56,NEE,75.65,2.82,3.87
57,KMB,150.30,5.51,3.81
58,KNSL,463.24,16.97,3.80
59,DG,84.96,3.12,3.81
60,AEP,108.62,4.0,3.82
61,DOC,21.27,0.76,3.73
62,ZTS,176.73,6.36,3.73
63,SAIC,115.43,4.18,3.76
64,PPC,56.62,2.0,3.66
65,BLTE,65.50,2.31,3.66
66,LHX,226.76,7.87,3.59
67,GPC,131.86,4.69,3.69
68,CI,332.41,11.39,3.55
69,WES,40.44,1.52,3.91
70,NWL,6.99,0.24,3.63
71,KHC,33.33,1.15,3.56
72,HRL,31.05,1.1,3.69
73,PEP,159.93,5.49,3.56
74,COTY,6.05,0.2,3.50
75,CWEN-A,26.82,0.9,3.47
76,MNST,56.99,1.92,3.50
77,RMD,240.83,8.39,3.61
78,CL,100.07,3.33,3.44
79,CCI,101.04,3.31,3.39
80,WTRG,41.17,1.36,3.42
81,EXEL,39.79,1.21,3.14
82,OGN,15.98,0.54,3.47
83,CWEN,28.51,0.89,3.24
84,AMGN,335.05,10.19,3.14
85,IDXX,443.97,13.85,3.22
86,NOG,28.39,0.9,3.27
87,O,60.36,1.88,3.21
88,D,57.09,1.87,3.39
89,ROL,53.40,1.62,3.14
90,MKTX,215.92,6.98,3.34
91,NHI,75.25,2.33,3.20
92,ETSY,48.40,1.6,3.41
93,UL,61.12,1.89,3.20
94,OHI,38.12,1.23,3.33
95,ASO,50.67,1.43,2.90
96,ZBH,111.31,3.32,3.07
97,REYN,25.20,0.76,3.11
98,SJM,121.18,3.8,3.24
99,CNH,13.78,0.39,2.92
100,MO,59.65,1.86,3.22
101,IRT,21.62,0.62,2.98
102,INGR,139.65,4.18,3.09
103,ORA,72.71,2.07,2.93
104,NGG,62.69,1.86,3.06
105,PAYX,158.33,4.85,3.16
106,BAX,37.70,1.13,3.09
107,ES,62.87,1.89,3.09
108,MAA,171.56,5.2,3.13
109,MUSA,469.12,13.67,3.00
