header,symbol,price,price_change,price_percent_change
0,TNXP,20.53,4.25,26.11
1,FINV,10.73,1.61,17.65
2,NEXT,8.50,1.25,17.24
3,JBSAY,13.65,2.0,17.17
4,TME,15.12,2.06,15.81
5,TKAMY,11.60,1.55,15.42
6,ESLT,408.53,39.27,10.63
7,BVHMF,8.20,0.65,8.61
8,STVN,21.79,1.21,5.88
9,HAGHY,43.75,2.46,5.95
10,RNMBY,317.75,16.75,5.56
11,BRRLY,13.60,0.67,5.18
12,IPGP,66.10,2.78,4.39
13,SITM,177.79,7.33,4.30
14,VWDRY,5.62,0.22,4.07
15,ALHC,16.74,0.65,4.04
16,X,41.73,1.62,4.04
17,DB,24.92,0.97,4.05
18,XIACF,7.70,0.29,3.91
19,DFS,158.85,5.85,3.83
20,SAN,7.14,0.26,3.83
21,XIACY,38.32,1.35,3.65
22,AU,34.20,1.21,3.67
23,BAYRY,6.79,0.24,3.66
24,KLC,17.07,0.67,4.09
25,EDU,52.60,1.8,3.54
26,CNX,31.81,1.08,3.51
27,ANGPY,6.59,0.21,3.29
28,GFI,21.32,0.67,3.22
29,MYRG,124.34,3.84,3.19
30,NIO,5.19,0.16,3.18
31,MUFG,14.30,0.44,3.14
32,TXNM,54.49,1.67,3.17
33,AVTR,17.01,0.5,3.03
34,FMCKJ,11.04,0.33,3.08
35,RWEOY,36.53,1.09,3.08
36,NWG,12.25,0.36,3.03
37,BCS,16.08,0.47,3.04
38,IMPUY,6.47,0.19,3.03
39,BYDDF,52.90,1.55,3.02
