header,symbol,price,price_change,price_percent_change
0,VRN,5.80,0.1,1.67
1,LUV,32.00,3.82,13.56
2,HSAI,19.22,3.21,19.96
3,XPEV,25.49,2.54,11.07
4,MWA,27.00,0.1,0.35
5,KTOS,29.29,0.11,0.38
6,BECN,118.60,0.08,0.07
7,WSC,29.99,0.23,0.75
8,BILI,22.98,1.17,5.36
9,GDS,38.43,2.02,5.55
10,STVN,22.60,1.04,4.82
11,ELF,73.22,-0.82,-1.10
12,AES,11.90,0.12,1.02
13,BEKE,23.52,1.05,4.67
14,SMCAY,19.62,0.77,4.08
15,CWEN-A,27.04,0.07,0.26
16,NEE-PR,43.22,1.63,3.92
17,APGE,37.74,0.2,0.53
18,OLCLY,21.80,0.74,3.51
19,TNXP,13.20,-0.27,-2.03
20,BEPC,28.58,-0.03,-0.12
21,FRO,15.70,0.56,3.70
22,SOBO,25.18,0.32,1.31
23,DVA,151.76,-0.13,-0.09
24,BMY,62.92,-0.19,-0.29
25,ORA,72.81,-0.12,-0.16
26,EXE,99.50,0.99,1.00
27,GOLF,70.92,0.25,0.35
28,AR,35.28,0.59,1.69
29,NTOIY,5.0000,0.15,3.09
30,CME,262.73,0.45,0.17
31,ENLT,16.96,-0.15,-0.88
