header,symbol,price,price_change,price_percent_change
0,RGTI,11.16,-0.06,-0.54
1,PTON,6.94,-0.11,-1.56
2,SOUN,10.35,0.01,0.10
3,OKLO,28.34,0.62,2.26
4,DOCU,86.67,0.91,1.06
5,WXXWY,6.87,0.87,14.50
6,ULTA,354.48,-3.0,-0.84
7,WRD,19.53,1.13,6.14
8,ROOT,149.71,-2.02,-1.33
9,AUR,7.02,0.05,0.72
10,CCI,103.43,0.21,0.20
11,TNXP,15.40,0.4,2.65
12,NBIS,28.62,-0.13,-0.45
13,CRDO,48.04,-1.11,-2.25
14,NU,11.69,-0.04,-0.34
15,ACHR,7.97,0.07,0.89
16,FMCKM,8.65,0.71,8.94
17,HOOD,39.21,-0.03,-0.08
18,NFE,9.40,0.14,1.51
19,FNMAJ,9.49,0.77,8.83
20,CVNA,181.18,14.51,8.71
21,PONY,13.68,-0.24,-1.72
22,SMMT,20.55,-0.24,-1.15
23,FNMAH,8.80,0.65,7.98
24,MDGL,345.05,-3.3,-0.95
25,ASTS,27.50,-0.65,-2.33
26,APP,294.48,1.59,0.54
27,ASAN,13.84,-0.04,-0.29
28,LMND,35.54,0.57,1.63
29,OMF,48.20,-0.43,-0.88
30,IEP,9.55,0.05,0.53
31,FNMAT,9.90,0.65,7.03
32,RIOT,7.69,-0.13,-1.66
33,RXRX,6.31,-0.04,-0.63
34,SPOT,573.07,-1.72,-0.30
35,QBTS,10.71,0.56,5.48
36,BRZE,35.32,0.04,0.11
37,TMDX,68.43,-0.1,-0.15
38,DAL,45.89,-0.86,-1.84
39,PETRY,6.14,0.37,6.41
40,OTLY,8.66,-0.18,-2.04
41,CRWD,353.28,-0.45,-0.13
42,AVPT,14.60,-0.06,-0.38
43,MKSI,85.74,-0.58,-0.68
44,MU,102.18,1.39,1.37
45,YPF,35.65,-0.13,-0.36
46,FG,42.17,-0.33,-0.79
47,MPWR,609.66,3.6,0.59
48,QFIN,46.06,2.87,6.63
49,BYDDY,100.09,5.73,6.07
50,FMCKJ,10.50,0.6,6.06
51,BYDDF,50.10,2.86,6.05
52,STR,19.80,0.0,0.00
53,NE,24.09,0.31,1.30
54,GKOS,102.19,5.59,5.79
55,LYFT,11.99,0.07,0.59
56,PNGAY,12.85,0.7,5.76
57,HPE,15.73,0.11,0.70
58,HRI,127.86,-1.42,-1.10
59,RGEN,150.86,0.24,0.16
60,ZLAB,37.90,-0.31,-0.80
61,DJTWW,12.31,0.0,0.00
62,SHAK,87.20,-0.28,-0.32
63,PEGA,71.55,-0.44,-0.61
64,XP,14.97,0.3,2.01
65,DAN,14.38,0.01,0.07
66,EDU,50.04,-0.68,-1.33
67,MNDY,262.73,6.86,2.69
68,OKTA,113.33,0.78,0.69
69,LITE,63.78,0.17,0.26
70,RRR,44.58,-0.21,-0.46
71,MANH,172.18,-0.32,-0.18
72,RDDT,122.86,-5.35,-4.17
73,VST,123.47,-0.99,-0.80
74,SITM,167.03,8.61,5.43
75,BILL,46.40,-0.01,-0.03
76,DJT,20.30,0.09,0.44
77,STNE,9.80,0.07,0.77
78,PR,13.61,0.13,0.97
79,DB,23.93,-0.29,-1.20
80,CYBR,339.47,17.33,5.38
81,FLR,36.81,1.87,5.35
82,MGM,32.06,0.3,0.94
83,SYM,21.62,-0.03,-0.14
84,ARM,118.90,0.96,0.81
85,GDS,34.11,-1.16,-3.29
86,VICR,53.66,2.66,5.22
87,ANF,78.89,-0.9,-1.14
88,SOC,25.10,0.24,0.97
89,HSAI,20.86,1.06,5.35
90,GME,23.30,0.25,1.08
91,ZK,30.60,-0.63,-2.03
92,AMBA,54.48,-0.3,-0.55
93,AAON,81.48,-0.66,-0.80
94,STEP,53.67,2.46,4.80
95,RMBS,54.48,0.05,0.09
96,HWKN,108.00,4.92,4.77
97,SCGLY,9.05,0.41,4.75
98,CXT,54.58,2.47,4.74
99,DLO,8.69,0.07,0.81
100,NMRK,12.31,-0.09,-0.73
101,LW,51.42,0.47,0.94
102,WSC,29.95,1.35,4.72
103,ITUB,6.05,0.06,1.00
104,BZ,19.54,-0.21,-1.06
105,RNMBY,298.70,13.4,4.70
106,MTSI,109.07,4.86,4.66
107,MUR,26.18,0.14,0.54
108,JD,43.49,0.33,0.76
109,CIVI,33.90,0.28,0.83
110,CHKP,224.03,-0.81,-0.36
111,CAVA,77.29,-0.19,-0.25
112,PEN,272.62,11.99,4.60
113,BCS,15.51,-0.21,-1.34
114,PAC,191.65,8.4,4.58
115,MT,32.03,-0.19,-0.57
116,AEIS,105.51,-0.68,-0.64
117,KD,35.17,-0.1,-0.30
118,YUMC,52.11,0.81,1.57
119,ALB,76.35,1.12,1.49
120,BKU,34.23,-0.22,-0.64
121,ADBE,393.43,-1.31,-0.33
122,VIRT,35.74,0.03,0.08
123,VNOM,43.39,0.09,0.22
124,TXNM,53.43,2.26,4.42
125,AVAV,129.45,5.46,4.40
126,OUT,16.38,0.69,4.40
127,LRLCY,80.24,3.37,4.38
128,UNCRY,28.85,1.21,4.38
129,CSGP,78.98,0.25,0.32
130,DBX,25.52,-0.1,-0.39
131,BBAR,18.98,0.01,0.03
132,ZS,196.99,-0.82,-0.41
133,NWG,11.77,-0.01,-0.08
134,KAI,352.46,14.65,4.34
135,ELP,7.22,-0.03,-0.34
136,BHF,55.60,2.3,4.32
137,NCLH,19.92,0.73,3.78
138,GTLS,148.84,6.13,4.30
139,ACAD,17.52,0.02,0.14
140,CACC,478.21,19.62,4.28
141,PAGS,7.87,0.06,0.77
142,DKS,193.68,-0.82,-0.42
143,KKR,112.35,-0.96,-0.85
144,LPLA,322.14,0.15,0.05
145,DOCS,64.02,0.64,1.01
146,SM,30.15,0.16,0.54
147,CVE,13.60,0.11,0.82
148,PWR,259.38,-1.43,-0.55
149,GTLB,51.78,-0.31,-0.59
150,GEO,26.48,-0.15,-0.54
151,ENTG,97.93,-0.44,-0.45
152,TSEM,38.97,1.56,4.17
153,HP,25.97,0.1,0.41
154,CGNX,31.33,-0.18,-0.56
155,TS,38.61,0.13,0.34
156,MOD,84.01,-1.41,-1.65
157,ARGX,618.81,13.85,2.29
158,ATGE,96.79,-0.53,-0.55
159,AZEK,41.22,1.61,4.06
160,DUOL,288.45,4.9,1.73
161,KVYO,33.35,0.06,0.17
162,RDY,13.18,0.5,3.94
163,VNO,37.05,0.23,0.62
164,CRGY,10.99,0.08,0.78
165,GGAL,59.34,-0.08,-0.14
166,APG,36.72,-0.45,-1.21
167,QLYS,126.39,4.82,3.96
168,APPN,30.18,1.15,3.96
169,BKNG,"4,462.36",-3.12,-0.07
170,PTEN,7.95,0.05,0.57
171,FHN,18.93,-0.1,-0.50
172,STM,24.79,-0.07,-0.28
173,CNXC,45.20,0.18,0.40
174,BBVA,14.45,0.11,0.77
175,TAL,13.50,0.2,1.50
176,IMVT,19.64,0.11,0.59
177,FRHC,127.46,0.57,0.45
178,BIO,254.45,9.44,3.85
