header,symbol,price,price_change,price_percent_change
0,GAP,22.08,2.6,13.37
1,HE,11.65,1.25,12.02
2,RGTI,9.38,0.87,10.23
3,HMY,11.79,0.94,8.66
4,AKRBF,21.00,1.58,8.14
5,BKRIF,13.15,0.95,7.79
6,WBA,11.39,0.79,7.45
7,ZIM,21.15,1.38,6.95
8,BILI,23.92,1.64,7.36
9,W,35.26,2.16,6.53
10,ENPH,62.43,3.71,6.32
11,LI,29.35,1.79,6.49
12,ZLAB,37.62,2.23,6.30
13,VAL,36.96,2.13,6.12
14,NE,24.36,1.36,5.91
15,IMPUY,6.42,0.34,5.59
16,HSAI,17.23,0.83,5.04
17,CELH,26.78,1.36,5.37
18,XPEV,23.48,1.25,5.60
19,ZK,31.57,1.56,5.18
20,PKX,53.42,2.76,5.44
21,TDW,43.11,2.11,5.14
22,UWMC,6.53,0.3,4.90
23,BZ,18.25,0.91,5.25
24,CRHKY,6.93,0.33,5.00
25,PR,13.03,0.6,4.78
26,TWODY,14.66,0.69,4.94
27,AVGO,187.27,7.82,4.36
28,RKT,15.54,0.69,4.65
29,NBIS,28.08,1.28,4.78
30,AU,32.31,1.42,4.60
31,MTDR,46.96,2.17,4.84
32,PBF,22.00,0.99,4.71
33,OSCR,16.30,0.68,4.35
34,GT,9.36,0.39,4.40
35,GFI,20.19,0.87,4.50
36,MPW,5.89,0.24,4.34
37,EQNR,23.32,0.94,4.22
38,MPNGY,47.36,1.96,4.32
39,HCM,16.70,0.68,4.28
40,MUR,25.17,1.01,4.18
41,PTEN,7.45,0.3,4.20
42,SWKS,69.75,2.82,4.21
43,EWTX,29.38,1.25,4.44
44,IPGP,65.16,2.58,4.12
45,CDE,5.72,0.22,4.00
46,PII,46.78,1.81,4.01
47,WFRD,56.51,2.28,4.20
48,DG,79.34,3.1,4.07
49,SIRI,24.70,0.95,4.00
50,CVE,13.17,0.49,3.86
51,EC,9.98,0.39,4.07
52,MU,92.85,3.58,4.00
53,KR,66.26,2.48,3.89
54,AXON,520.79,21.48,4.30
55,CAG,26.90,0.92,3.54
56,ARM,122.26,4.35,3.68
57,SM,28.20,1.05,3.87
58,APGE,36.80,1.36,3.84
59,APA,19.43,0.68,3.63
60,M,13.70,0.48,3.67
61,LYFT,12.52,0.44,3.64
62,TGNA,18.16,0.65,3.68
63,MNSO,20.02,0.73,3.78
64,CLS,84.83,3.21,3.93
65,CLSK,8.43,0.28,3.37
66,DVN,35.11,1.24,3.66
67,CNK,24.57,0.83,3.50
68,MRNA,35.96,1.66,4.84
69,PATH,12.15,0.4,3.40
70,XP,15.04,0.49,3.37
71,OVV,39.32,1.33,3.50
72,FSLR,135.65,4.52,3.45
73,APP,267.52,7.89,3.04
74,VOD,9.31,0.3,3.38
75,TIGO,29.16,0.95,3.37
76,INSP,181.00,5.9,3.39
77,MARA,15.57,0.48,3.21
78,CIVI,33.76,1.08,3.29
79,CALM,85.27,2.62,3.17
80,CART,39.01,1.26,3.34
81,CPB,41.03,1.24,3.12
82,OXY,47.25,1.54,3.37
83,CSAN,5.10,0.16,3.23
84,SLB,41.03,1.28,3.21
85,CHX,29.41,0.89,3.12
86,CHRD,105.59,3.14,3.06
87,ORLA,7.58,0.29,3.92
88,QRVO,73.42,2.22,3.12
89,NOG,27.74,0.85,3.16
90,TGS,24.99,0.76,3.12
91,EQX,6.71,0.21,3.21
92,IMO,67.23,2.1,3.23
93,CORZ,8.06,0.21,2.74
94,NU,10.96,0.31,2.91
95,SJM,114.82,3.33,2.99
96,BRC,71.85,2.12,3.04
97,AGCO,99.69,2.94,3.04
98,RIOT,8.35,0.24,2.90
99,MBLY,15.32,0.5,3.38
