header,symbol,price,price_change,price_percent_change
0,ADTX,5.85,1.48,33.96
1,SCNX,3.02,0.54,21.77
2,TME,14.64,1.57,12.06
3,AIFF,5.69,0.46,8.76
4,NIU,3.79,0.28,7.9
5,SBSW,4.31,0.22,5.38
6,CRVO,9.5,0.45,4.97
7,CDE,6.72,0.29,4.59
8,KC,18.82,0.8,4.41
9,LCID,2.26,0.1,4.4
10,GRAB,4.62,0.17,3.93
11,AG,7.32,0.23,3.31
12,TIGR,8.2,0.23,2.91
13,GOLD,19.7,0.52,2.71
14,LI,28.07,0.72,2.63
15,KOS,2.33,0.06,2.42
16,BTG,3.3,0.07,2.17
17,SSRM,11.22,0.23,2.14
18,BYND,3.59,0.07,1.99
19,HSAI,22.72,0.42,1.88
20,EQX,7.08,0.1,1.36
21,BIDU,103.62,1.35,1.32
22,PENG,19.11,0.22,1.16
23,BZ,20.7,0.23,1.12
24,IQ,2.52,0.03,1.0
25,VTRS,9.33,0.08,0.86
26,APA,20.2,0.17,0.85
27,LAZR,6.47,0.05,0.78
28,BAC,41.68,0.24,0.58
29,JD,45.46,0.24,0.54
30,KHC,30.82,0.15,0.51
31,AEP,106.36,0.51,0.48
32,INFY,18.64,0.07,0.4
33,XP,15.52,0.06,0.39
34,ARCC,21.73,0.08,0.37
35,TCOM,66.84,0.17,0.25
36,AGNC,10.38,0.03,0.24
37,BKR,43.98,0.1,0.24
38,MDLZ,65.22,0.14,0.21
39,RIVN,11.04,0.02,0.18
40,AAPL,214.33,0.33,0.15
41,CSX,30.38,0.04,0.15
42,CELH,29.96,0.04,0.12
43,KDP,33.86,0.02,0.06
44,QCOM,157.97,0.02,0.01
45,BTE,2.13,-0.0,0.0
46,HBAN,14.74,-0.0,-0.01
47,PBR,13.9,-0.01,-0.04
48,WBA,11.25,-0.01,-0.09
49,NOK,5.38,-0.01,-0.09
50,EXC,44.34,-0.05,-0.11
51,CMCSA,35.7,-0.06,-0.15
52,SBUX,98.9,-0.18,-0.18
53,VALE,10.06,-0.02,-0.2
54,MIST,2.4,-0.01,-0.21
55,MQ,4.31,-0.01,-0.23
56,EBAY,67.28,-0.16,-0.24
57,ITUB,6.24,-0.01,-0.24
58,ABEV,2.31,-0.01,-0.33
59,GILD,111.86,-0.4,-0.35
60,PARA,11.64,-0.04,-0.39
61,PEP,150.71,-0.63,-0.42
62,WBD,10.43,-0.05,-0.48
63,CSCO,60.59,-0.3,-0.49
64,T,26.68,-0.15,-0.56
65,GOOG,165.6,-0.96,-0.58
66,GOOGL,163.34,-0.95,-0.58
67,XERS,5.0,-0.03,-0.6
68,PDD,128.06,-0.83,-0.65
69,MSFT,386.15,-2.55,-0.66
70,AMD,103.88,-0.7,-0.67
71,MU,102.41,-0.7,-0.68
72,INTC,25.51,-0.18,-0.7
73,VOD,9.79,-0.07,-0.71
74,DKNG,38.45,-0.28,-0.72
75,FTNT,95.87,-0.8,-0.82
76,PYPL,69.03,-0.62,-0.89
77,CRWD,361.36,-3.46,-0.95
78,NVDA,118.27,-1.26,-1.05
79,DRS,32.78,-0.35,-1.06
80,ANET,84.19,-0.9,-1.06
81,CRDO,46.49,-0.53,-1.12
82,TTD,55.86,-0.64,-1.13
83,MCHP,54.63,-0.63,-1.14
84,AAL,11.19,-0.13,-1.15
85,LRCX,77.4,-0.91,-1.16
86,BILI,22.02,-0.26,-1.17
87,DOCU,82.42,-1.0,-1.2
88,CCL,20.64,-0.26,-1.22
89,LYFT,11.88,-0.15,-1.25
90,PENN,17.04,-0.22,-1.27
91,BTI,41.3,-0.54,-1.28
92,FLNC,5.34,-0.07,-1.29
93,JBLU,5.59,-0.08,-1.41
94,PANW,182.3,-2.71,-1.46
95,MRNA,34.2,-0.51,-1.47
96,MRVL,69.36,-1.04,-1.47
97,META,595.89,-9.01,-1.49
98,COMM,5.17,-0.08,-1.52
99,AAOI,20.66,-0.32,-1.53
