header,symbol,price,price_change,price_percent_change
0,PTGX,56.37,18.02,46.99
1,VRN,5.64,0.73,14.84
2,ELF,76.73,6.05,8.56
3,DNBBF,25.62,1.99,8.42
4,KTOS,29.54,2.25,8.24
5,ENPH,66.34,4.71,7.64
6,MWA,27.00,1.95,7.78
7,BECN,119.33,8.23,7.41
8,TNXP,13.98,0.96,7.37
9,AAP,37.61,2.24,6.33
10,LSRCY,20.02,1.11,5.87
11,AMKBY,9.62,0.5,5.48
12,TTC,77.07,3.82,5.22
13,NSP,95.06,4.7,5.20
14,REGN,744.07,36.56,5.17
15,SCI,84.88,4.02,4.97
16,MRNA,37.36,1.75,4.91
17,CBT,88.93,4.05,4.77
18,BLTE,66.20,3.01,4.76
19,DFH,26.58,1.2,4.75
20,HOG,27.35,1.26,4.83
21,ADM,51.68,2.24,4.53
22,RMD,242.88,10.44,4.49
23,DRPRY,6.21,0.27,4.55
24,COTY,6.12,0.27,4.62
25,CTSH,87.00,3.76,4.52
26,ETSY,48.87,2.07,4.41
27,EQNR,24.18,1.01,4.38
28,HCA,344.85,14.7,4.45
29,AES,11.77,0.52,4.67
30,WSC,29.31,1.24,4.43
31,MKC,86.10,3.47,4.21
32,UAA,7.36,0.28,3.88
33,WES,40.51,1.59,4.08
34,MEDP,346.39,13.58,4.08
35,BF-B,38.45,1.52,4.12
36,SMCAY,19.63,0.78,4.14
37,TSCO,59.14,2.25,3.96
38,PAYC,220.94,8.29,3.90
39,COLM,87.17,3.21,3.82
40,CPB,43.27,1.46,3.49
41,FIZZ,42.36,1.49,3.65
42,CWEN-A,26.80,0.88,3.39
43,NOC,503.35,16.83,3.46
44,BIIB,155.64,5.26,3.50
45,NOG,28.49,1.0,3.62
46,UA,6.64,0.2,3.18
47,GIS,66.62,2.12,3.29
48,PCAR,113.92,3.86,3.51
49,PPC,56.40,1.78,3.26
50,AWK,150.54,5.14,3.54
51,TGTX,39.70,1.26,3.28
52,LNTH,109.74,3.4,3.19
53,LKQ,44.80,1.42,3.27
54,CAG,28.12,0.89,3.27
55,OGN,15.95,0.51,3.30
56,EXEL,39.80,1.22,3.16
57,TAP,63.75,1.89,3.06
58,CWEN,28.50,0.88,3.19
59,RRC,36.34,1.12,3.18
60,ASO,50.60,1.36,2.76
61,CB,295.55,8.96,3.13
62,HSY,190.60,5.54,2.99
63,BF-A,37.68,1.09,2.98
64,JJSF,142.58,4.2,3.04
65,ORA,72.88,2.24,3.17
66,GOLF,70.57,2.06,3.01
67,KVUE,24.12,0.7,2.99
