,symbol,price,price_change,price_percent_change
0,DM,4.5,2.23,98.46
1,DATS,3.76,1.6,74.07
2,ZYBT,8.09,2.29,39.4
3,FBRX,8.66,2.34,37.03
4,MKFG,4.29,1.01,30.79
5,KBSX,2.85,0.59,26.11
6,FUFU,5.54,1.08,24.33
7,ROLR,3.58,0.64,21.53
8,PRCH,7.96,1.1,16.11
9,AENT,4.42,0.61,16.01
10,AVTX,8.66,1.03,13.56
11,BETR,13.87,1.49,12.04
12,OM,11.61,1.12,10.68
13,JYD,5.4,0.52,10.67
14,HMR,3.4,0.33,10.59
15,ZJK,5.77,0.55,10.54
16,XELB,4.24,0.39,10.22
17,LEDS,2.35,0.2,9.53
18,AEVA,5.19,0.45,9.49
19,CGTL,3.35,0.29,9.48
20,DJT,22.88,1.87,8.9
21,TBH,5.69,0.45,8.59
22,EPAC,47.1,3.72,8.58
23,MBLY,16.56,1.29,8.49
24,LXEO,4.43,0.34,8.31
25,SUPV,15.08,1.1,7.87
26,MGRM,3.06,0.22,7.75
27,SAND,7.38,0.53,7.74
28,EXOD,56.7,4.06,7.72
29,CHCI,9.98,0.71,7.66
30,MNDO,1.97,0.14,7.65
31,SKYH,12.89,0.91,7.63
32,UFG,5.54,0.39,7.57
33,NXXT,3.06,0.21,7.57
34,CURI,3.12,0.21,7.4
35,SION,12.99,0.89,7.36
36,MPTI,45.15,3.06,7.26
37,DGNX,98.0,6.58,7.2
38,TIPT,24.91,1.67,7.19
39,PSIX,31.97,2.14,7.17
40,PHUN,3.29,0.22,7.17
41,SPIR,9.26,0.61,7.12
42,GDC,2.77,0.18,6.95
43,QNTM,5.93,0.38,6.85
44,MASK,3.61,0.23,6.8
45,OXBR,2.24,0.14,6.76
46,IP,56.32,3.49,6.61
47,INMB,8.84,0.54,6.51
48,GPRK,8.22,0.47,6.06
49,SUP,2.6,0.14,5.92
50,ACTU,7.62,0.42,5.83
51,EGO,16.6,0.89,5.63
52,AISP,4.78,0.25,5.52
53,TKC,6.22,0.33,5.52
54,PUBM,10.44,0.54,5.45
55,ALMS,3.98,0.2,5.43
56,NN,13.45,0.69,5.41
57,POET,4.37,0.22,5.3
58,WKHS,2.31,0.12,5.25
59,RAIL,6.88,0.34,5.2
60,NB,2.27,0.11,5.09
61,ECX,2.89,0.14,5.09
62,ADNT,14.66,0.7,5.01
63,SPRU,2.6,0.12,4.96
64,OPRX,9.44,0.45,4.94
65,GOGO,8.62,0.41,4.93
66,VSAT,11.74,0.55,4.87
67,BBAR,19.93,0.93,4.87
68,BIYA,4.35,0.2,4.82
69,LOMA,11.69,0.53,4.75
70,XIFR,9.82,0.44,4.69
71,BMA,84.96,3.75,4.62
72,AXGN,18.98,0.83,4.57
73,TTD,62.03,2.69,4.53
74,X,43.01,1.86,4.52
75,EXFY,3.5,0.15,4.48
76,ADUS,95.05,4.07,4.47
77,BOW,41.0,1.75,4.47
78,ETSY,47.86,2.0,4.36
79,PRMB,33.47,1.38,4.3
80,YPF,37.72,1.54,4.27
81,APPF,229.97,9.37,4.25
82,KLTR,2.1,0.09,4.23
83,NGNE,14.55,0.59,4.23
84,HFFG,4.34,0.17,4.2
85,SEAT,2.86,0.12,4.18
86,SLN,3.64,0.14,4.15
87,INTA,64.13,2.51,4.07
88,CX,6.3,0.24,3.96
89,YOU,27.54,1.04,3.92
90,CABO,264.5,9.88,3.88
91,NGD,3.36,0.13,3.87
92,SAGE,8.52,0.32,3.84
93,CLBT,20.64,0.76,3.82
94,SBS,17.86,0.65,3.75
95,GDOT,8.18,0.29,3.74
96,CVNA,221.57,7.94,3.72
97,MLYS,16.77,0.6,3.71
98,QRVO,75.6,2.69,3.69
99,CGAU,6.32,0.23,3.69
