,symbol,price,price_change,price_percent_change
0,PAY,30.82,0.07,0.23
1,ZK,31.50,-1.34,-4.08
2,XPEV,24.90,-1.44,-5.47
3,RDDT,133.24,10.51,8.56
4,KC,17.99,-0.1,-0.55
5,BE,25.83,0.83,3.32
6,TEVA,16.19,0.09,0.56
7,MSTR,266.74,6.15,2.36
8,IAG,5.56,0.01,0.18
9,MDB,203.79,8.09,4.13
10,SARO,28.55,0.01,0.04
11,APP,292.15,34.39,13.34
12,LITE,65.98,3.93,6.33
13,NXT,45.30,0.36,0.80
14,CORZ,8.93,0.3,3.48
15,MTN,165.72,0.3,0.18
16,KFY,67.27,4.75,7.60
17,ORLA,7.78,-0.03,-0.32
18,OKLO,27.45,1.98,7.77
19,SMCI,44.32,3.48,8.52
20,TSLA,245.50,14.92,6.47
21,TEM,48.87,3.29,7.23
22,LI,28.74,-0.75,-2.54
23,COIN,196.21,4.52,2.36
24,TXNM,51.18,3.31,6.91
25,IMPUY,6.65,0.43,6.91
26,ICUI,144.25,5.26,3.78
27,CRWD,344.72,14.97,4.54
28,ROOT,143.47,7.58,5.58
29,ALAB,70.79,4.74,7.18
30,CLS,91.91,5.32,6.14
31,TWST,40.07,0.94,2.40
32,VRT,89.33,6.21,7.47
33,TLN,196.09,19.53,11.13
34,STEP,51.88,0.98,1.93
35,BHVN,30.01,0.6,2.04
36,TAC,9.48,0.16,1.75
37,PRIM,66.96,2.59,4.03
38,SM,29.26,0.19,0.65
39,CVNA,184.45,12.23,7.10
40,KGS,37.04,1.74,4.93
41,OR,19.23,0.19,1.00
42,UEC,5.36,0.3,5.92
43,QFIN,40.87,0.12,0.29
44,IRTC,103.92,0.0,0.00
45,RUM,8.20,0.41,5.26
46,AROC,24.87,0.81,3.38
47,COHR,69.60,3.12,4.71
48,CYBR,343.43,12.48,3.77
49,KGC,11.15,-0.02,-0.13
50,AFRM,50.38,3.61,7.72
51,BWIN,41.18,0.73,1.80
52,ACVA,14.51,0.73,5.30
53,NTRA,147.64,7.62,5.44
54,MMYT,92.47,2.81,3.14
55,LIVN,39.40,0.34,0.87
56,X,37.58,0.52,1.40
57,HL,5.39,-0.03,-0.64
58,VST,121.58,7.22,6.31
59,IOT,35.90,1.84,5.40
60,ASND,146.75,1.12,0.77
61,DY,149.12,5.0,3.53
62,PKX,53.49,2.68,5.29
63,FN,201.12,3.32,1.68
64,GEV,306.64,22.43,7.89
65,AKRO,44.94,1.12,2.56
66,NVCR,21.41,0.09,0.40
67,SWTX,51.38,0.49,0.96
68,BURBY,13.49,0.64,4.98
69,EQX,6.51,-0.06,-0.91
70,BZ,18.13,-0.14,-0.77
71,NVDA,114.56,5.81,5.34
72,BABA,138.14,-0.88,-0.63
73,MIR,14.43,0.26,1.80
74,FNMA,5.19,0.24,4.85
75,LMND,36.22,1.94,5.68
76,NET,124.96,4.89,4.07
77,KVYO,33.42,0.17,0.51
78,NU,10.93,0.32,3.07
79,BTSG,17.58,0.79,4.71
80,CRDO,46.36,3.0,6.92
81,INTC,20.88,1.1,5.56
82,BVN,13.63,0.59,4.52
83,CFLT,26.71,1.21,4.75
84,IESC,178.80,9.25,5.46
85,AS,26.75,1.15,4.49
86,NRG,91.52,2.9,3.27
87,ADMA,18.16,0.81,4.64
88,USM,64.92,0.38,0.59
89,ODD,43.96,-0.34,-0.77
90,LNSTY,36.44,1.54,4.41
91,MTDR,47.36,0.36,0.77
92,NSANY,5.95,0.25,4.39
93,XIACF,6.95,0.29,4.35
