,symbol,price,price_change,price_percent_change
0,WRD,9.80,0.96,10.86
1,IMPUY,5.16,0.49,10.49
2,SMPL,36.44,3.26,9.81
3,HMY,14.15,1.18,9.10
4,XIACY,26.30,2.2,9.13
5,DJTWW,11.84,0.94,8.62
6,IAG,6.29,0.48,8.26
7,TKAMY,9.51,0.72,8.03
8,CDE,5.16,0.36,7.38
9,ONTO,113.35,7.75,7.34
10,ANGPY,5.38,0.37,7.40
11,DJT,17.83,1.17,7.02
12,EGO,16.66,1.03,6.59
13,AU,35.37,2.21,6.67
14,OLN,19.09,1.13,6.29
15,MPNGY,36.20,2.2,6.47
16,TFPM,19.53,1.18,6.46
17,KGC,12.64,0.68,5.64
18,DAL,38.04,2.16,6.02
19,GFI,21.20,1.16,5.81
20,AGI,25.90,1.4,5.71
21,INTC,19.15,1.02,5.60
22,AVAV,127.68,6.65,5.49
23,GT,8.91,0.43,5.07
24,ORLA,8.70,0.41,4.95
25,ARM,90.03,4.21,4.91
26,BVN,13.58,0.64,4.95
27,PAAS,22.81,1.09,5.00
28,CAMT,54.93,2.61,4.99
29,STVN,19.36,0.79,4.25
30,LYFT,10.43,0.45,4.56
31,CAR,65.53,2.67,4.25
32,TSLA,232.26,10.4,4.69
33,WK,64.65,2.74,4.43
34,RKLB,17.87,0.69,4.02
35,MTSI,91.50,3.86,4.40
36,NEM,47.03,2.07,4.60
37,AMD,81.79,3.58,4.58
38,SWKS,51.48,2.28,4.63
39,ZTO,17.24,0.73,4.39
40,CIVI,25.34,1.03,4.26
41,WMT,85.44,3.65,4.47
42,AEM,104.34,4.21,4.20
43,EONGY,15.55,0.67,4.50
44,CELH,35.27,1.38,4.07
45,ARLP,27.02,1.16,4.48
46,MSTR,248.71,10.76,4.52
47,GFS,31.71,1.34,4.41
48,CACI,403.79,17.09,4.42
49,NABZY,9.80,0.47,5.04
50,DV,12.35,0.49,4.17
51,FUN,29.58,1.29,4.59
52,TER,70.52,2.56,3.77
53,LOAR,78.56,3.27,4.34
54,GOLD,18.26,0.74,4.25
55,AAPL,179.35,6.93,4.02
56,TGOPY,23.20,0.93,4.18
57,STM,18.49,0.71,3.99
58,BILI,15.48,0.6,4.03
59,STRL,118.04,4.21,3.69
60,SVNDY,13.20,0.51,4.02
61,ANGI,12.45,0.48,4.01
62,PBCRY,11.75,0.45,3.98
63,PRKS,40.00,1.49,3.87
64,RGLD,161.44,5.96,3.83
65,ASML,617.47,22.1,3.71
66,LHX,207.97,7.22,3.60
67,QRVO,52.54,1.73,3.40
68,MNSO,14.80,0.48,3.39
69,SHC,10.15,0.35,3.62
70,KC,11.88,0.41,3.62
71,AUOTY,5.02,0.17,3.51
72,CRWD,336.14,11.1,3.42
73,YOU,24.69,0.73,3.05
74,TLX,14.80,0.49,3.45
75,BF-B,32.53,1.08,3.42
76,ON,33.01,1.06,3.32
77,EQX,5.88,0.18,3.25
78,WPM,72.83,2.28,3.22
79,MT,24.23,0.76,3.22
80,INFA,16.36,0.5,3.15
81,HKXCY,37.82,1.22,3.33
82,OR,19.86,0.62,3.22
83,LEVI,12.83,0.41,3.30
84,FNV,147.69,4.65,3.25
85,MANU,12.61,0.4,3.28
86,NVDA,99.22,2.92,3.04
87,ORANY,13.12,0.41,3.23
88,WMK,79.17,2.68,3.51
89,PVH,62.32,1.82,3.01
90,ELF,52.45,1.45,2.84
91,BF-A,32.24,0.93,2.97
92,UNF,166.92,5.06,3.13
93,AVGO,160.23,4.2,2.69
94,IPGP,51.23,1.55,3.12
95,RNECY,5.06,0.17,3.48
96,EXAS,41.48,1.17,2.90
97,PSN,61.21,1.85,3.11
98,CNK,26.22,0.77,3.03
99,SIG,52.30,1.53,3.01
100,SAND,7.02,0.2,2.93
