,symbol,price,price_change,price_percent_change
0,VERO,8.93,6.01,205.82
1,BLIV,6.4,3.3,106.45
2,AEHL,4.43,2.25,103.21
3,HUBC,3.49,1.03,41.87
4,TIVC,4.82,1.21,33.52
5,FWRD,13.85,3.35,31.9
6,KRUS,54.56,13.1,31.6
7,BALY,15.61,3.72,31.29
8,CPRI,16.36,3.88,31.09
9,AAOI,13.86,3.16,29.53
10,RDW,9.98,2.27,29.44
11,AEHR,8.77,1.99,29.35
12,FORM,29.81,6.63,28.6
13,RH,191.95,42.59,28.51
14,SITM,149.9,33.11,28.35
15,AOSL,22.82,4.96,27.77
16,LOVE,15.91,3.44,27.59
17,NDRA,5.08,1.09,27.32
18,VFC,12.38,2.65,27.16
19,APPS,2.79,0.59,26.82
20,MCHP,44.8,9.46,26.77
21,ESTA,34.57,7.26,26.58
22,GES,10.94,2.27,26.27
23,ISPR,4.04,0.84,26.25
24,UAL,70.83,14.68,26.14
25,ONTO,133.03,27.43,25.98
26,ICHR,20.96,4.29,25.73
27,KSS,7.76,1.58,25.57
28,SEZL,38.15,7.73,25.41
29,CVNA,220.35,44.03,24.97
30,ENTG,78.54,15.62,24.83
31,SAIH,4.43,0.88,24.79
32,RDDT,110.92,22.03,24.78
33,MSTR,296.86,58.91,24.76
34,CIVI,30.27,5.96,24.52
35,WLDS,2.64,0.52,24.5
36,MKSI,73.17,14.39,24.48
37,ARM,106.43,20.61,24.02
38,EP,6.15,1.19,23.99
39,CC,11.88,2.29,23.96
40,IONQ,26.37,5.09,23.92
41,AMD,96.7,18.49,23.64
42,ULCC,4.08,0.78,23.64
43,LSCC,46.75,8.91,23.55
44,PI,77.24,14.7,23.5
45,HOOD,42.2,8.03,23.5
46,TKNO,5.73,1.09,23.49
47,DAL,44.27,8.39,23.38
48,MPWR,561.56,106.37,23.37
49,DXF,7.92,1.5,23.36
50,AIXI,2.75,0.52,23.32
51,LGPS,4.45,0.84,23.27
52,NFE,6.68,1.26,23.25
53,AEVA,7.28,1.37,23.18
54,NGNE,9.03,1.69,23.02
55,SOUN,8.83,1.65,22.98
56,STIM,4.08,0.76,22.89
57,SKYT,7.18,1.33,22.74
58,MXL,11.23,2.08,22.73
59,ALGM,23.23,4.3,22.72
60,COHR,63.06,11.67,22.71
61,ON,39.2,7.25,22.69
62,TSLA,272.2,50.34,22.69
63,AAL,11.12,2.06,22.66
64,ACDC,5.29,0.98,22.65
65,PPIH,11.32,2.09,22.64
66,CRDO,43.27,7.97,22.58
67,W,29.58,5.44,22.54
68,SWKS,60.27,11.07,22.5
69,WWW,12.34,2.27,22.49
70,ALK,50.23,9.22,22.48
71,UCTT,21.82,3.98,22.31
72,OLN,21.96,4.0,22.27
73,QRVO,62.11,11.3,22.24
74,NUTX,103.79,18.85,22.19
75,VSH,12.92,2.35,22.19
76,SNAP,8.82,1.59,22.06
77,BKKT,8.54,1.53,21.93
78,RMBS,52.29,9.39,21.9
79,WRD,10.77,1.93,21.83
80,MRVL,60.96,10.93,21.85
81,PEB,9.39,1.68,21.79
82,XPRO,8.41,1.5,21.78
83,SYNA,52.26,9.34,21.76
84,DJT,20.27,3.61,21.67
85,RGTI,9.39,1.67,21.63
86,MTSI,106.59,18.95,21.62
87,ENVX,6.64,1.18,21.61
88,SNCY,11.65,2.07,21.61
89,GDTC,2.76,0.49,21.59
90,AFRM,44.31,7.86,21.56
91,STM,21.61,3.83,21.54
92,BBNX,11.81,2.1,21.63
93,TXG,8.67,1.53,21.43
94,KRNT,19.18,3.37,21.32
95,VEEE,4.1,0.72,21.3
96,GLBE,36.12,6.33,21.22
97,NXPI,185.87,32.37,21.09
98,FTAI,108.93,18.94,21.05
99,VET,6.57,1.14,20.99
