,symbol,price,price_change,price_percent_change
0,VFC,11.79,-0.63,-5.07
1,MCHP,41.26,-3.64,-8.10
2,ONTO,123.83,-9.54,-7.23
3,CVNA,204.23,-16.21,-7.35
4,MSTR,284.43,-12.43,-4.18
5,ENTG,74.32,-4.17,-5.31
6,RDDT,104.90,-5.96,-5.38
7,CIVI,28.32,-1.98,-6.55
8,MPWR,528.20,-33.64,-5.99
9,TSLA,259.40,-12.8,-4.70
10,COHR,59.86,-3.18,-5.04
11,CRDO,41.00,-2.27,-5.25
12,QRVO,59.01,-3.1,-4.99
13,IMPUY,5.70,1.03,22.06
14,SNAP,8.57,-0.24,-2.78
15,WRD,10.16,-0.61,-5.61
16,SYNA,49.36,-2.9,-5.55
17,RGTI,9.01,-0.38,-4.05
18,SM,23.42,-1.2,-4.88
19,WBD,8.87,-0.39,-4.21
20,SN,74.59,-4.16,-5.28
21,ALAB,60.69,-3.64,-5.66
22,LITE,57.68,-2.13,-3.56
23,TTD,52.69,-1.42,-2.63
24,U,19.16,-0.83,-4.14
25,AEIS,88.25,-7.36,-7.70
26,RNECY,5.83,0.94,19.22
27,CLS,78.98,-3.08,-3.75
28,APA,15.58,-1.13,-6.76
29,OKLO,23.30,-0.78,-3.24
30,PLTR,89.02,-2.99,-3.25
31,STLA,9.32,-0.8,-7.86
32,SHOP,86.18,-5.22,-5.72
33,ADI,185.72,-10.91,-5.55
34,DOCN,29.62,-1.05,-3.42
35,MUR,21.74,-1.44,-6.23
36,LRCX,67.81,-3.3,-4.64
37,SMNEY,62.29,9.43,17.84
38,BBWI,29.02,-0.99,-3.26
39,TEM,42.85,-0.94,-2.16
40,RUM,7.89,-0.27,-3.29
41,CCL,18.57,-1.04,-5.30
42,JOBY,5.98,-0.28,-4.47
43,OLED,119.00,-6.17,-4.93
44,WFRD,43.10,-2.83,-6.10
45,WEX,129.35,-3.71,-2.78
46,CE,41.08,-2.83,-6.45
47,NBIS,22.61,-0.85,-3.62
48,TRU,75.86,-5.12,-6.32
49,MBLY,14.06,-1.08,-7.13
50,KKR,105.96,-4.5,-4.07
51,PVH,69.01,-1.69,-2.40
52,XIACF,5.55,0.8,16.84
53,ADYEY,16.01,2.29,16.69
54,VAC,56.89,-2.39,-3.88
55,ANGPY,5.83,0.82,16.37
56,MOD,79.15,-4.41,-5.01
57,APO,124.29,-4.15,-3.23
58,APO-PA,69.37,9.69,16.24
59,IBKR,164.83,-5.89,-3.45
60,AI,20.46,-0.72,-3.40
61,TXN,162.38,-7.12,-4.20
62,RNLSY,10.18,1.41,16.08
63,FN,191.49,-10.41,-5.16
64,SAIA,366.81,-7.99,-2.13
65,CDE,5.55,-0.03,-0.54
66,ATI,48.66,6.69,15.94
67,SMTC,28.61,-1.37,-4.61
68,CHRD,90.28,-4.71,-4.96
69,LIF,34.36,-2.25,-6.15
70,AUR,6.19,-0.36,-5.50
71,DOW,28.31,-1.56,-5.21
72,ONON,43.37,-1.64,-3.64
73,TPG,44.12,-1.75,-3.82
74,ARES,142.37,19.16,15.55
75,PSTG,43.09,-1.61,-3.60
76,ZI,8.29,-0.27,-3.15
77,SHAK,85.05,-2.57,-2.93
78,IOT,39.31,-0.15,-0.39
79,NET,108.11,-4.45,-3.93
80,VST,112.44,-5.58,-4.73
81,MNDY,238.14,-13.86,-5.50
82,ANF,74.39,-2.84,-3.67
83,SLAB,93.22,-6.19,-6.23
84,GTES,17.94,2.38,15.30
85,DFS,164.74,-6.11,-3.58
86,PRKS,42.97,-1.41,-3.18
87,IFNNY,30.36,4.01,15.22
88,QCOM,138.30,-5.29,-3.68
89,SYF,48.50,-1.98,-3.90
90,WDC,35.80,-0.5,-1.38
91,DUOL,325.08,-12.32,-3.65
92,AS,23.23,-0.89,-3.69
93,NVMI,184.60,-7.13,-3.72
94,VAL,31.31,-1.97,-5.92
95,WSC,25.10,-1.31,-4.96
96,COF,168.43,-6.48,-3.70
97,DRPRY,5.12,0.66,14.80
98,STEP,46.10,-2.65,-5.43
99,HGV,36.49,4.69,14.75
100,WYNN,74.74,-1.1,-1.44
101,MIDD,139.04,-4.51,-3.14
102,PR,11.27,-0.61,-5.14
103,JHX,22.27,-0.93,-3.99
104,BIRK,47.75,-0.35,-0.73
105,ATKR,57.25,-2.28,-3.83
106,BX,133.99,-3.37,-2.45
107,HP,20.25,-1.46,-6.67
108,APLE,11.89,-0.3,-2.46
109,ALGN,161.59,-3.44,-2.09
110,GTLS,125.15,-6.4,-4.91
111,RL,200.05,-8.32,-3.84
112,CDNS,258.00,-6.65,-2.51
113,OWL,17.52,-0.68,-3.74
114,TSEM,34.38,-0.92,-2.61
115,GGAL,51.07,-1.1,-2.10
116,ZBRA,237.16,-6.61,-2.71
117,JBL,133.52,-3.86,-2.79
118,MHVIY,34.98,4.33,14.13
119,MAKSY,10.56,1.3,14.04
120,INTA,54.82,-2.21,-3.88
121,PINS,27.53,-0.61,-2.16
122,DAY,55.06,-1.16,-2.06
123,VRN,5.58,-0.3,-5.10
124,BLCO,12.53,1.53,13.91
125,KTB,59.48,7.26,13.90
126,ROAD,76.80,-2.32,-2.93
127,AVAV,135.77,-1.95,-1.41
128,PK,9.72,-0.35,-3.53
129,DASH,184.73,-3.85,-2.04
130,LYFT,11.16,-0.18,-1.59
131,RGEN,117.36,-6.49,-5.24
132,OUT,14.51,-0.57,-3.78
133,GKOS,91.42,-2.14,-2.28
134,SKYW,87.30,-2.99,-3.31
135,AVNT,30.86,-2.03,-6.17
136,TGOPY,25.30,3.03,13.61
137,GPN,90.26,10.79,13.58
138,VICR,47.47,-1.69,-3.44
139,CVE,11.49,-0.52,-4.29
140,OS,19.55,-0.81,-3.96
141,MASI,158.55,-6.02,-3.66
142,TREX,55.44,-1.87,-3.22
143,PH,573.59,-22.51,-3.78
144,PANW,169.52,-3.5,-2.02
145,PCOR,62.68,-1.17,-1.86
146,AXP,255.02,-7.33,-2.80
147,AESI,14.10,-0.56,-3.85
148,BMA,73.60,-0.46,-0.62
149,PONY,6.33,-0.21,-3.21
150,FOUR,83.36,9.79,13.31
151,BRKR,39.40,-1.79,-4.29
152,CSWI,280.00,-8.11,-2.81
153,AGCO,83.35,-2.46,-2.87
154,KC,13.13,0.15,1.16
155,CLSK,7.46,-0.17,-2.22
156,ACVA,14.51,1.69,13.18
157,TNL,42.36,-1.53,-3.49
158,PAYC,218.50,25.43,13.17
159,LOGI,70.99,-3.21,-4.33
160,TWLO,89.30,-2.68,-2.91
