,symbol,price,price_change,price_percent_change
0,CXM,9.48,1.4,17.33
1,IONQ,21.69,2.99,16.00
2,TLN,197.64,21.08,11.94
3,RGTI,8.91,0.86,10.75
4,VKTX,29.32,2.8,10.54
5,SOUN,9.40,0.86,10.13
6,FNMA,5.68,0.49,9.44
7,VST,124.54,10.18,8.90
8,VIST,46.38,3.68,8.62
9,RDDT,133.20,10.47,8.53
10,VRNA,67.98,5.28,8.42
11,SMMT,20.07,1.57,8.49
12,RNMBY,274.35,20.7,8.16
13,APP,278.01,20.25,7.86
14,ACHR,7.34,0.53,7.71
15,CLF,9.73,0.71,7.93
16,TSLA,249.51,18.93,8.21
17,ONTO,134.43,9.86,7.92
18,CRDO,46.79,3.43,7.91
19,IOT,38.72,2.82,7.86
20,DJTWW,11.72,0.81,7.42
21,RBRK,57.74,3.92,7.27
22,MU,95.67,6.61,7.43
23,NBIS,27.31,1.86,7.31
24,SMNEY,63.28,4.31,7.31
25,RNA,31.66,2.08,7.03
26,PLTR,83.36,5.31,6.80
27,TGS,25.94,1.67,6.88
28,KGS,37.63,2.33,6.60
29,HOOD,38.81,2.45,6.74
30,CVNA,184.26,12.04,6.99
31,SOC,24.53,1.48,6.42
32,CASY,403.65,24.94,6.59
33,NVDA,115.90,7.15,6.57
34,VICR,53.36,3.27,6.53
35,AKRO,46.56,2.74,6.25
36,GEV,301.33,17.12,6.03
37,MTSI,107.04,6.11,6.05
38,PINS,33.29,1.9,6.07
39,GEO,25.00,1.39,5.89
40,PTON,6.09,0.35,6.01
41,AMTM,18.02,0.98,5.75
42,ADMA,18.36,1.01,5.85
43,SRRK,36.52,2.02,5.86
44,MOD,84.65,4.58,5.73
45,SPOT,535.77,27.33,5.38
46,GLNG,33.81,1.82,5.67
47,SOFI,11.85,0.59,5.28
48,DUOL,290.14,15.23,5.54
49,BBAR,18.34,0.91,5.22
50,SITM,164.92,8.52,5.45
51,AMBA,52.32,2.7,5.44
52,GGAL,57.27,2.88,5.30
53,PAM,80.01,4.11,5.42
54,ALAB,69.69,3.64,5.51
55,RKT,13.88,0.7,5.31
56,FIX,341.62,17.04,5.25
57,IESC,179.60,10.05,5.93
58,ALVO,11.33,0.52,4.81
59,VRT,87.37,4.25,5.11
60,NRG,92.91,4.29,4.84
61,MNSO,20.92,1.0,5.02
62,PCVX,73.45,3.6,5.15
63,SMCI,42.91,2.07,5.07
64,CXW,19.60,0.87,4.64
65,OKLO,26.70,1.24,4.85
66,RH,241.85,11.27,4.89
67,BROS,63.13,2.96,4.92
68,AFRM,49.16,2.39,5.12
69,CLS,90.70,4.11,4.75
70,YPF,33.42,1.53,4.80
71,GH,44.74,2.11,4.95
72,WGS,91.30,4.13,4.74
73,AXON,552.04,25.4,4.82
74,BTSG,17.58,0.79,4.71
75,CRWD,344.73,14.98,4.54
76,UPST,49.00,2.35,5.04
77,DTM,94.08,4.18,4.65
78,SHOP,97.45,4.5,4.84
79,MRVL,70.10,2.94,4.38
80,U,22.00,1.03,4.89
81,LITE,64.94,2.89,4.66
82,NTRA,146.72,6.7,4.79
83,MPW,5.95,0.26,4.47
84,LRCX,76.68,3.32,4.53
85,BURL,245.38,9.95,4.23
86,AVPT,14.23,0.61,4.48
87,SMTC,33.65,1.45,4.52
88,INTC,20.64,0.85,4.32
89,CIVI,34.45,1.45,4.39
90,GLBE,38.39,1.66,4.52
91,AMD,100.84,4.08,4.22
92,CDE,5.71,0.24,4.39
93,TSEM,38.28,1.44,3.89
94,CRH,98.40,3.77,3.98
95,GRND,16.98,0.67,4.11
96,CEG,217.35,8.77,4.20
