,symbol,price,price_change,price_percent_change
0,JNVR,26.1,22.1,552.5
1,BJDX,8.45,4.92,139.38
2,ARTV,3.18,0.74,30.18
3,BGLC,2.92,0.57,24.47
4,MTEN,4.95,0.93,23.13
5,NDRA,4.27,0.73,20.62
6,USAR,8.89,1.34,17.75
7,TIVC,5.26,0.79,17.67
8,RH,167.85,22.19,15.23
9,RYTM,54.16,7.21,15.35
10,LGPS,4.48,0.58,14.87
11,SMHI,4.51,0.57,14.47
12,TCRT,3.37,0.42,14.08
13,DBVT,7.38,0.88,13.54
14,UBXG,4.11,0.43,11.78
15,BZAI,2.49,0.26,11.66
16,GOGL,7.2,0.71,11.03
17,LPG,19.19,1.85,10.67
18,OKLO,21.9,2.1,10.61
19,STNG,35.1,3.23,10.15
20,NTCL,10.23,0.92,9.88
21,AENT,3.17,0.28,9.65
22,X,41.91,3.62,9.45
23,ISPO,4.12,0.34,8.99
24,SMR,13.73,1.13,8.97
25,YALA,5.06,0.4,8.58
26,AUID,5.52,0.43,8.51
27,SMCI,32.29,2.47,8.28
28,NVGS,11.82,0.9,8.24
29,CAMT,54.68,4.13,8.16
30,TNK,37.24,2.77,8.05
31,FRO,13.85,1.02,7.95
32,LEU,58.74,4.31,7.92
33,INSW,31.0,2.24,7.79
34,DOMO,7.15,0.51,7.68
35,TSSI,6.72,0.47,7.61
36,DHT,10.15,0.7,7.44
37,TSEM,31.85,2.2,7.42
38,RGTI,8.05,0.55,7.33
39,UPST,37.32,2.52,7.24
40,GRRR,18.07,1.22,7.21
41,SHLS,3.36,0.23,7.17
42,DLTR,72.38,4.83,7.15
43,DAVE,75.86,5.06,7.15
44,RIG,2.33,0.15,7.14
45,ASC,9.35,0.61,6.98
46,IE,5.07,0.33,6.96
47,TEN,14.76,0.95,6.88
48,ATOM,3.74,0.24,6.86
49,OPRT,4.68,0.3,6.85
50,TNXP,16.71,1.07,6.84
51,TK,6.25,0.4,6.84
52,GTX,7.84,0.5,6.81
53,IONQ,22.07,1.39,6.71
54,NMAX,48.0,3.0,6.67
55,ARQQ,12.8,0.79,6.53
56,MAXN,2.98,0.18,6.43
57,HAFN,3.87,0.22,6.03
58,AIOT,4.53,0.26,5.97
59,NEXT,6.0,0.33,5.72
60,CIFR,2.22,0.12,5.71
61,FVRR,23.46,1.26,5.68
62,EXK,3.32,0.17,5.56
63,IMTX,3.69,0.19,5.43
64,HIMS,27.4,1.41,5.43
65,CRK,18.04,0.92,5.37
66,PARR,13.61,0.69,5.34
67,CNK,25.88,1.3,5.29
68,RDDT,91.42,4.51,5.19
69,AMC,2.78,0.14,5.09
70,BIYA,3.95,0.19,5.05
71,AIRJ,5.04,0.24,5.05
72,GLNG,32.24,1.54,5.02
73,RAPP,9.44,0.45,5.01
74,NNE,22.52,1.07,4.99
75,CVNA,170.64,8.06,4.96
76,LINC,16.08,0.76,4.96
77,SEZL,30.12,1.42,4.95
78,DNA,5.84,0.28,4.94
79,ULCC,3.62,0.17,4.92
80,ARIS,26.59,1.24,4.89
81,GCO,18.88,0.88,4.89
82,SHIP,5.38,0.24,4.77
83,RKLB,17.15,0.78,4.76
84,NPKI,5.29,0.24,4.75
85,ASTS,21.02,0.95,4.75
86,TLN,182.65,8.25,4.73
87,CRDO,34.87,1.57,4.71
88,TRMD,14.62,0.65,4.65
89,SBLK,13.68,0.59,4.55
90,NAT,2.31,0.1,4.52
91,WGS,83.6,3.58,4.48
92,APP,229.14,9.77,4.45
93,MP,24.08,1.02,4.44
94,SYM,18.28,0.78,4.43
95,RCAT,6.44,0.27,4.38
96,RCUS,7.17,0.3,4.37
97,NVMI,169.08,7.04,4.35
98,DAVA,18.19,0.74,4.24
99,BRKR,38.01,1.54,4.24
