,symbol,price,price_change,price_percent_change
0,INTC,23.70,3.02,14.60
1,FQVLF,14.04,1.49,11.87
2,FN,223.65,21.77,10.78
3,AG,6.68,0.55,8.88
4,CPRI,21.12,1.64,8.42
5,MRCY,45.08,2.98,7.08
6,DG,79.96,5.11,6.83
7,DLTR,66.00,4.08,6.59
8,ORLA,8.29,0.44,5.61
9,ALGM,26.24,1.3,5.21
10,SLNO,49.03,2.33,4.99
11,NEM,45.66,2.03,4.65
12,SSRM,10.70,0.46,4.49
13,EGO,15.30,0.65,4.40
14,BVN,14.20,0.56,4.11
15,ALKT,25.25,0.97,4.00
16,CDE,5.94,0.23,4.03
17,AES,12.28,0.45,3.80
18,VOD,9.50,0.34,3.71
19,HL,5.78,0.2,3.68
20,ZBH,107.70,3.67,3.53
21,ABM,47.09,1.58,3.48
22,LZRFY,5.43,0.18,3.43
23,CBOE,215.29,6.79,3.26
24,NOC,490.72,15.62,3.29
25,RTO,21.39,0.63,3.03
