,symbol,price,price_change,price_percent_change
0,FINV,10.80,1.68,18.42
1,JBSAY,13.55,1.9,16.31
2,TNXP,18.45,2.17,13.33
3,TME,14.71,1.65,12.63
4,TKAMY,11.31,1.26,12.54
5,ESLT,410.17,40.91,11.08
6,NEXT,7.93,0.68,9.44
7,BVHMF,8.20,0.65,8.61
8,RIVN,11.66,0.64,5.85
9,IMPUY,6.64,0.36,5.73
10,BRRLY,13.60,0.67,5.18
11,CNX,32.36,1.63,5.30
12,ALHC,16.91,0.82,5.10
13,CDE,6.74,0.31,4.82
14,RNMBY,315.20,14.2,4.72
15,XIACF,7.75,0.34,4.62
16,NIO,5.26,0.23,4.57
17,DB,25.01,1.06,4.43
18,IPGP,65.74,2.42,3.83
19,XIACY,38.35,1.38,3.73
20,AU,34.29,1.3,3.96
21,MLTX,40.16,1.49,3.85
22,VWDRY,5.61,0.21,3.89
23,AG,7.38,0.28,4.02
24,BAYRY,6.79,0.24,3.66
25,SITM,176.89,6.43,3.77
26,SAN,7.14,0.26,3.85
27,TIGO,31.34,1.1,3.64
28,GFI,21.34,0.69,3.34
29,MYRG,124.85,4.35,3.61
30,NWG,12.28,0.39,3.27
31,EDU,52.43,1.63,3.20
32,ZIM,18.96,0.53,2.88
33,CALX,34.34,0.95,2.84
