,symbol,price,price_change,price_percent_change
0,FORM,29.76,6.58,28.39
1,SITM,149.90,33.11,28.35
2,RH,191.95,42.59,28.52
3,VFC,12.39,2.65,27.16
4,MCHP,44.90,9.56,27.05
5,ONTO,133.27,27.67,26.20
6,UAL,70.83,14.68,26.14
7,CVNA,220.35,44.03,24.97
8,RDDT,110.94,22.05,24.81
9,ENTG,78.48,15.56,24.73
10,CIVI,30.27,5.96,24.52
11,MKSI,73.20,14.42,24.53
12,MSTR,296.86,58.91,24.76
13,ARM,106.59,20.77,24.20
14,HOOD,42.21,8.04,23.53
15,IONQ,26.37,5.09,23.92
16,AMD,96.84,18.63,23.82
17,DAL,44.26,8.38,23.36
18,PI,77.24,14.7,23.50
19,ALGM,23.23,4.3,22.72
20,MPWR,561.84,106.65,23.43
21,ALK,50.28,9.27,22.60
22,OLN,22.00,4.04,22.49
23,CRDO,43.27,7.97,22.58
24,W,29.57,5.43,22.49
25,SOUN,8.83,1.65,22.98
26,TSLA,272.20,50.34,22.69
27,COHR,63.08,11.69,22.75
28,LSCC,46.44,8.6,22.73
29,AAL,11.12,2.05,22.60
30,SNAP,8.82,1.59,22.06
31,SWKS,60.23,11.03,22.42
32,ON,39.20,7.25,22.69
33,IMPUY,5.71,1.04,22.27
34,QRVO,62.11,11.3,22.24
35,MRVL,60.96,10.93,21.85
36,RGTI,9.39,1.67,21.63
37,RMBS,52.29,9.4,21.90
38,DJT,20.27,3.61,21.67
39,MTSI,106.59,18.95,21.62
40,SYNA,52.26,9.34,21.76
41,AFRM,44.30,7.85,21.54
42,GLBE,36.07,6.27,21.04
43,STM,21.61,3.83,21.54
44,NXPI,185.87,32.37,21.09
45,FTAI,108.95,18.96,21.07
46,WBD,9.26,1.57,20.42
47,PTEN,6.56,1.1,20.15
48,SN,78.73,13.09,19.94
49,SM,24.62,4.23,20.75
50,LEVI,14.92,2.5,20.13
51,WRD,10.77,1.93,21.83
52,AMKR,17.98,3.06,20.51
53,NOG,24.77,4.17,20.24
54,UPST,43.14,7.25,20.20
55,RKLB,20.59,3.41,19.85
56,TTD,54.12,8.85,19.55
57,SOFI,11.39,1.89,19.89
58,LITE,59.81,9.79,19.57
59,AEIS,95.61,15.44,19.26
60,ALAB,64.33,10.62,19.77
61,ALB,60.48,9.72,19.15
62,CAMT,62.41,10.09,19.29
63,SYM,21.38,3.5,19.57
64,CLS,82.10,13.25,19.24
65,APA,16.71,2.68,19.10
66,U,19.98,3.23,19.25
67,RNECY,5.80,0.91,18.61
68,GFS,36.18,5.81,19.13
69,ASTS,24.14,3.84,18.92
70,PLTR,92.01,14.69,19.00
71,OKLO,24.06,3.83,18.93
72,M,11.86,1.84,18.41
73,MU,77.87,12.33,18.81
74,SHOP,91.40,14.31,18.56
75,NCLH,18.41,2.87,18.47
76,NVDA,114.33,18.03,18.72
77,PENN,16.28,2.53,18.40
78,ST,20.88,3.18,17.99
79,FUN,33.57,5.28,18.66
80,ADI,196.63,30.54,18.39
81,AVGO,185.15,29.12,18.66
82,CUK,17.70,2.75,18.39
83,LMND,29.70,4.58,18.23
84,INTC,21.53,3.4,18.75
85,BRPHF,10.94,1.7,18.40
86,EXPE,161.68,25.05,18.33
87,STLA,10.10,1.57,18.44
88,MUR,23.17,3.55,18.12
89,DOCN,30.75,4.84,18.68
90,ASAN,16.27,2.48,17.98
91,STRL,134.53,20.7,18.19
92,LRCX,71.11,10.86,18.02
93,XIACF,5.60,0.85,17.89
94,BBWI,30.02,4.51,17.68
95,PTON,5.87,0.87,17.40
96,WEX,133.02,19.55,17.23
97,TEM,43.79,6.56,17.62
98,CCL,19.62,2.93,17.56
99,MDB,171.34,25.49,17.48
100,VIK,41.67,6.16,17.35
101,CAR,73.92,11.06,17.59
102,ANGPY,5.88,0.87,17.54
103,RUM,8.15,1.21,17.51
104,ASO,39.91,5.81,17.04
105,TRU,80.97,11.71,16.91
106,WFRD,45.93,6.76,17.26
107,JOBY,6.26,0.93,17.34
108,CZR,27.57,4.06,17.27
109,MBLY,15.14,2.19,16.91
110,KLAC,703.31,103.8,17.31
111,RBRK,61.72,8.91,16.87
112,OLED,125.17,18.57,17.42
113,TKAMY,10.30,1.51,17.18
114,CAVA,92.13,13.67,17.42
115,KKR,110.51,16.0,16.93
116,MEOH,30.29,4.42,17.09
117,CE,43.89,6.4,17.07
118,PVH,70.69,10.19,16.84
119,COIN,177.09,25.62,16.91
120,MARA,12.31,1.79,17.02
121,NBIS,23.46,3.4,16.95
122,RNLSY,10.25,1.48,16.88
123,UNCRY,26.84,3.87,16.85
124,URBN,50.45,7.21,16.67
125,TER,79.44,11.48,16.89
126,FMCC,4.9700,0.67,15.58
127,CEG,215.45,30.51,16.50
128,SMNEY,61.69,8.83,16.61
129,APO,128.41,18.0,16.30
130,SG,22.75,3.3,16.97
131,AEO,11.24,1.6,16.53
132,VAC,59.27,8.41,16.54
133,ATS,24.65,3.58,16.99
134,CRUS,90.23,12.8,16.53
135,SIG,59.08,8.31,16.36
136,RCL,209.68,29.49,16.38
137,NABZY,10.85,1.52,16.29
138,IVPAF,8.64,1.21,16.29
139,HUN,14.24,1.99,16.24
140,CRS,175.15,23.85,15.76
141,MOD,83.54,11.72,16.32
142,AMAT,149.73,20.77,16.11
143,BILL,43.92,6.11,16.16
144,APP,274.96,39.68,16.87
145,IBKR,170.72,23.7,16.12
146,APO-PA,69.31,9.63,16.14
147,HLNE,147.08,20.43,16.13
148,CRWD,378.01,52.97,16.30
149,ACHR,7.41,1.01,15.78
150,CFLT,22.86,3.18,16.16
151,DELL,84.13,11.54,15.90
152,MGM,29.97,4.18,16.21
153,WCC,153.36,20.5,15.43
154,TXN,169.50,23.49,16.09
155,SMCI,36.71,5.0,15.77
156,HPE,14.50,1.99,15.91
157,MTDR,42.47,5.8,15.82
158,DVN,31.08,4.28,15.97
159,SAIA,374.80,51.73,16.01
