,symbol,price,price_change,price_percent_change
0,QBTS,9.48,2.57,37.12
1,RBRK,69.03,13.75,24.87
2,RGTI,10.38,1.63,18.63
3,DOCU,88.43,13.73,18.39
4,SMTC,38.12,5.42,16.55
5,WXXWY,6.89,0.89,14.83
6,PTON,6.88,0.81,13.33
7,FNMA,6.14,0.66,12.04
8,OKLO,26.70,2.75,11.48
9,WGS,99.46,10.14,11.35
10,ULTA,350.15,35.68,11.35
11,FMCKJ,10.99,1.09,11.01
12,SOUN,9.87,0.96,10.77
13,IONQ,23.66,2.29,10.72
14,FMCC,5.07,0.47,10.22
15,VNET,11.47,1.07,10.24
16,AUR,6.89,0.63,10.14
17,CCI,103.03,9.5,10.16
18,FNMAS,11.23,0.98,9.56
19,PONY,14.10,1.29,10.11
20,FNMAT,10.16,0.91,9.84
21,MSTR,288.77,25.51,9.69
22,ASR,283.28,24.79,9.59
23,TEM,46.20,4.03,9.57
24,FNMAJ,9.55,0.83,9.52
25,FNMAH,8.90,0.75,9.20
26,WRD,17.75,1.48,9.10
27,TNXP,14.85,1.2,8.83
28,RSI,10.52,0.84,8.68
29,FMCKI,8.70,0.69,8.61
30,NU,11.65,0.9,8.42
31,MARA,13.12,0.96,7.89
32,FUTU,116.21,8.69,8.08
33,TGTX,40.00,2.94,7.93
34,ALAB,70.32,5.0,7.65
35,FUN,37.73,2.67,7.62
36,HOOD,38.78,2.76,7.66
37,ROOT,144.28,10.05,7.49
38,APP,292.58,20.58,7.57
39,PLTR,85.37,5.75,7.22
40,SMMT,20.60,1.41,7.34
41,CAR,59.55,4.06,7.32
42,BOLSY,6.46,0.44,7.31
43,NBIS,28.00,1.83,6.99
44,FMCKM,8.50,0.56,7.05
45,CRDO,48.23,3.28,7.30
46,ACHR,7.76,0.51,6.97
47,CLF,10.41,0.69,7.04
48,BEKE,23.97,1.53,6.82
49,ELF,67.23,4.26,6.77
50,CE,56.67,3.58,6.74
51,CSAN,5.26,0.33,6.59
52,ASAN,13.77,0.86,6.70
53,OMAB,80.55,4.97,6.58
54,PETRY,6.14,0.37,6.41
55,RIOT,7.76,0.45,6.22
56,LKNCY,33.69,1.98,6.24
57,FINMY,25.57,1.51,6.28
58,MP,25.91,1.53,6.26
59,SMMYY,5.53,0.32,6.14
60,PSTG,51.45,2.91,6.00
61,WDC,44.56,2.53,6.02
62,LYFT,11.94,0.66,5.90
63,CVNA,176.75,10.08,6.05
64,AFRM,49.69,2.79,5.95
65,MU,100.56,5.68,5.99
66,BYDDY,99.83,5.47,5.80
67,CZR,28.22,1.59,5.97
68,BYDDF,50.00,2.76,5.84
69,CC,14.52,0.82,5.95
70,LMND,34.42,1.82,5.58
71,SPOT,568.98,31.08,5.78
72,STNE,9.76,0.53,5.80
73,CVLT,156.72,8.41,5.67
74,TGS,27.00,1.44,5.63
75,SMCI,41.19,2.11,5.40
76,OKTA,112.64,6.01,5.64
77,PEGA,71.96,3.82,5.60
78,BILL,46.44,2.41,5.47
79,RKLB,18.55,0.98,5.59
80,EDU,50.75,2.71,5.64
81,ATAT,31.14,1.52,5.13
82,MANH,172.06,8.56,5.24
83,VEON,41.93,2.15,5.39
84,RDDT,127.97,6.44,5.30
85,PENN,17.12,0.89,5.50
86,KVYO,33.69,1.69,5.28
87,SCHW,77.46,3.95,5.37
88,OTLY,8.80,0.49,5.90
89,PATH,10.51,0.53,5.37
90,XP,14.61,0.72,5.22
91,SOFI,11.98,0.59,5.18
92,MPNGY,45.02,2.22,5.19
93,INFA,18.26,0.87,5.00
94,MKSI,85.40,4.16,5.12
95,CAVA,77.79,3.72,5.02
96,QFIN,42.12,2.15,5.37
97,PNGAY,12.77,0.62,5.10
98,GWRE,185.04,9.03,5.13
99,ZLAB,37.99,1.85,5.12
100,CLS,90.58,4.17,4.83
101,GKOS,101.47,4.87,5.04
102,SYM,21.58,1.02,4.99
103,NE,23.59,1.13,5.03
104,STR,19.60,0.92,4.93
105,PBR,13.35,0.62,4.91
106,YPF,35.32,1.61,4.78
107,AVPT,14.48,0.69,5.00
108,PAC,192.10,8.85,4.83
109,MGM,31.65,1.49,4.94
110,TMDX,67.45,3.1,4.82
111,ITUB,5.99,0.28,4.81
112,AS,27.88,1.27,4.77
113,DAN,14.26,0.65,4.74
114,FLR,36.60,1.66,4.75
115,MRX,32.84,1.48,4.72
116,HPE,15.48,0.71,4.81
117,GH,42.62,1.99,4.88
118,CLBT,18.10,0.82,4.75
119,LW,50.99,2.33,4.80
120,MDGL,337.96,14.94,4.63
121,SPSC,128.74,5.68,4.62
122,FIVN,29.55,1.31,4.62
123,DAY,54.56,2.38,4.57
124,ACVA,14.65,0.65,4.64
125,CRWD,348.00,15.47,4.65
126,CYBR,336.64,14.49,4.50
127,VALE,9.85,0.43,4.56
128,UMC,6.78,0.31,4.71
129,PEN,272.46,11.83,4.54
130,DY,154.17,6.7,4.54
131,ORLA,8.65,0.36,4.34
132,TSEM,39.10,1.69,4.50
