,symbol,price,price_change,price_percent_change
0,WHLR,3.2,0.83,35.23
1,TCOM,56.85,2.06,3.76
2,DJT,20.76,0.49,2.42
3,BIDU,82.14,1.55,1.93
4,BTG,2.92,0.02,0.69
5,TMUS,256.29,1.39,0.55
6,MDLZ,66.54,0.35,0.53
7,VNET,5.89,-0.01,-0.17
8,KHC,29.03,-0.07,-0.24
9,CSCO,57.9,-0.23,-0.4
10,NWL,5.03,-0.03,-0.5
11,ASTS,24.01,-0.13,-0.54
12,VOD,8.52,-0.06,-0.7
13,EBAY,61.32,-0.64,-1.02
14,RXRX,4.6,-0.05,-1.08
15,AGNC,8.81,-0.1,-1.12
16,ARCC,20.54,-0.32,-1.52
17,WDC,35.72,-0.57,-1.58
18,QUBT,6.74,-0.11,-1.61
19,CSX,28.19,-0.47,-1.64
20,NDAQ,70.63,-1.36,-1.89
21,IBRX,2.55,-0.05,-1.92
22,TROW,88.4,-1.76,-1.95
23,PANW,169.46,-3.56,-2.05
24,APP,269.18,-5.78,-2.1
25,RIVN,11.48,-0.29,-2.51
26,TTD,52.76,-1.36,-2.51
27,HST,13.86,-0.36,-2.53
28,BBD,2.1,-0.06,-2.55
29,CRWD,368.25,-9.76,-2.58
30,BAC,36.17,-0.98,-2.64
31,PYPL,62.24,-1.71,-2.67
32,SBUX,86.19,-2.49,-2.81
33,FTNT,97.0,-2.93,-2.93
34,GT,9.44,-0.3,-3.11
35,IREN,5.71,-0.19,-3.22
36,RIOT,7.12,-0.26,-3.46
37,BKR,37.41,-1.34,-3.46
38,MRNA,25.74,-0.93,-3.49
39,RKLB,19.82,-0.77,-3.72
40,MAT,15.22,-0.64,-4.04
41,COMM,3.7,-0.16,-4.15
42,QCOM,137.42,-6.17,-4.3
43,SMCI,35.05,-1.66,-4.52
44,SHOP,87.23,-4.17,-4.56
45,LRCX,67.82,-3.29,-4.63
46,HOOD,40.22,-1.99,-4.7
47,AMAT,142.66,-7.07,-4.72
48,MSTR,282.63,-14.23,-4.79
49,AFRM,42.17,-2.13,-4.81
50,MARA,11.71,-0.6,-4.87
51,NVAX,6.41,-0.34,-5.04
52,WULF,2.45,-0.13,-5.04
53,CRDO,41.02,-2.25,-5.2
54,ADI,186.0,-10.63,-5.41
55,AVGO,175.0,-10.15,-5.48
56,AMD,91.43,-5.41,-5.59
57,SWKS,56.74,-3.53,-5.86
58,PTEN,6.15,-0.41,-6.25
59,CCL,18.35,-1.26,-6.43
60,ARM,99.5,-7.09,-6.65
61,ON,36.45,-2.75,-7.01
62,STLA,9.24,-0.88,-8.7
63,RCAT,6.67,-0.78,-10.47
