,symbol,price,price_change,price_percent_change
0,VTVT,24.9,10.05,67.68
1,MGRM,3.65,1.32,56.65
2,QNTM,7.21,2.32,47.44
3,RGC,17.83,5.21,41.28
4,NAOV,2.98,0.77,35.09
5,ARQQ,20.05,5.05,33.65
6,CRVO,8.49,2.05,31.83
7,NCSM,34.76,8.0,29.88
8,RHLD,40.68,8.61,26.85
9,GES,12.29,2.59,26.7
10,NIU,3.4,0.69,25.18
11,MTEN,7.05,1.37,24.12
12,QMCO,18.54,3.2,20.86
13,XPOF,8.93,1.47,19.64
14,CURR,2.42,0.39,19.21
15,AMBI,5.18,0.8,18.15
16,SKBL,12.99,1.99,18.09
17,CSAI,6.0,0.91,17.75
18,ARQT,17.16,2.54,17.37
19,WGRX,3.38,0.48,16.55
20,KSCP,5.01,0.71,16.51
21,LAZR,5.88,0.83,16.44
22,RDHL,2.98,0.42,16.41
23,CAPS,2.9,0.4,16.04
24,HCAI,9.74,1.34,15.95
25,UBXG,4.5,0.6,15.38
26,CBUS,2.53,0.33,15.2
27,MWYN,4.85,0.62,14.66
28,AIFF,4.87,0.62,14.61
29,CANG,4.31,0.53,14.02
30,YSG,5.97,0.73,13.93
31,SATL,4.07,0.49,13.85
32,RITR,3.74,0.46,13.83
33,PSIX,34.67,4.18,13.71
34,ANNX,2.95,0.35,13.46
35,QUBT,8.03,0.94,13.26
36,UMAC,7.2,0.8,12.56
37,ARTV,5.74,0.64,12.55
38,ATLN,5.55,0.61,12.35
39,HSAI,22.18,2.38,12.02
40,MTSR,28.16,2.95,11.7
41,EVTL,3.93,0.41,11.65
42,QFIN,48.21,5.02,11.62
43,MIST,2.42,0.25,11.48
44,JUNE,6.42,0.66,11.46
45,PLX,2.49,0.25,11.16
46,OPAL,2.1,0.21,11.11
47,KMTS,23.62,2.35,11.07
48,AMRC,11.69,1.15,10.91
49,YRD,8.13,0.79,10.76
50,MASS,4.55,0.44,10.63
51,BBNX,16.22,1.55,10.57
52,JTAI,4.75,0.45,10.47
53,CLMT,13.3,1.24,10.28
54,LAES,3.66,0.34,10.27
55,CTGO,10.44,0.95,10.06
56,VRA,2.7,0.24,9.96
57,CALM,91.2,8.17,9.84
58,IPI,29.16,2.59,9.75
59,JKS,23.9,2.1,9.63
60,LZMH,10.1,0.88,9.48
61,NVCT,9.68,0.83,9.38
62,TBH,5.31,0.46,9.37
63,SAIC,114.14,9.71,9.3
64,JFIN,12.91,1.09,9.22
65,CURI,2.92,0.24,9.16
66,BTAI,2.33,0.2,9.15
67,DWTX,6.68,0.56,9.15
68,SNOA,3.85,0.32,9.07
69,MPAA,11.38,0.94,9.06
70,SKLZ,4.78,0.39,8.88
71,ASND,166.5,13.52,8.84
72,LUD,4.74,0.38,8.71
73,GTE,5.17,0.41,8.61
74,LANV,2.37,0.19,8.56
75,DEC,12.96,1.01,8.45
76,PHAT,4.78,0.37,8.39
77,SNCR,11.8,0.91,8.36
78,CELH,29.31,2.23,8.22
79,CTRM,2.65,0.2,8.16
80,UFG,5.17,0.39,8.16
81,BTG,3.2,0.24,8.11
82,QBTS,10.97,0.82,8.08
83,BIDU,101.34,7.52,8.02
84,OTLY,9.54,0.7,7.98
85,SRFM,3.96,0.29,7.9
86,AMBR,12.81,0.93,7.83
87,DOYU,9.47,0.68,7.74
88,AVD,4.77,0.34,7.67
89,VERI,2.81,0.2,7.66
90,INTC,25.88,1.83,7.61
91,SPIR,9.22,0.65,7.58
92,LION,8.16,0.57,7.58
93,VSCO,19.98,1.41,7.57
94,TCOM,66.4,4.65,7.53
95,PLCE,9.0,0.63,7.53
96,APPS,3.6,0.25,7.46
97,EEX,4.39,0.3,7.46
98,HPP,2.96,0.2,7.45
99,CMPR,45.0,3.12,7.45
