,symbol,price,price_change,price_percent_change
0,OPTN,9.14,3.13,52.25
1,PRA,23.04,7.5,48.23
2,RGC,44.3,13.53,43.97
3,NAOV,4.46,1.2,36.81
4,RENT,6.51,1.68,34.78
5,OM,11.15,2.87,34.71
6,AEVA,4.18,1.07,34.41
7,ULY,4.86,1.17,31.68
8,NIPG,2.67,0.6,28.99
9,CRVO,11.75,2.38,25.44
10,SPRY,14.32,2.67,22.88
11,KUKE,2.56,0.47,22.49
12,HFFG,3.53,0.6,20.48
13,EXOD,48.04,7.29,17.89
14,STAI,2.86,0.43,17.72
15,CAPR,14.34,2.13,17.39
16,WGRX,4.67,0.69,17.34
17,CPS,16.96,2.3,15.69
18,PHH,11.24,1.52,15.64
19,DWTX,6.83,0.92,15.63
20,AUID,6.24,0.79,14.56
21,GDC,2.35,0.29,14.08
22,AIXI,3.84,0.46,13.59
23,LEE,9.96,1.19,13.57
24,CLEU,2.29,0.27,13.37
25,OSS,2.74,0.32,13.22
26,JFB,4.13,0.48,13.22
27,CRGO,2.58,0.3,13.16
28,BKKT,10.5,1.2,12.84
29,TITN,16.61,1.88,12.76
30,ONIT,34.56,3.83,12.46
31,ELAB,6.33,0.69,12.23
32,JYD,4.48,0.46,11.44
33,KNOP,6.27,0.64,11.37
34,BOWN,7.1,0.72,11.29
35,USAU,11.46,1.16,11.26
36,JUNE,7.72,0.76,10.97
37,MYNZ,4.72,0.45,10.54
38,TNXP,18.16,1.69,10.26
39,POET,4.26,0.39,10.18
40,ANNA,7.92,0.69,9.54
41,BETR,12.88,1.11,9.43
42,OPRT,6.2,0.49,8.68
43,FEIM,17.18,1.35,8.53
44,ADTX,10.85,0.82,8.18
45,KURA,7.86,0.59,8.12
46,TZUP,3.92,0.29,8.01
47,ALTS,4.75,0.35,7.95
48,LSF,6.08,0.43,7.7
49,ACVA,15.68,1.07,7.36
50,SNDX,14.08,0.96,7.36
51,SNBR,7.29,0.49,7.21
52,ANAB,17.61,1.17,7.12
53,TWI,9.04,0.59,6.98
54,International,31.3,2.05,7.01
55,RPID,2.46,0.16,6.96
56,ATEC,10.2,0.66,6.87
57,GAMB,13.33,0.85,6.81
58,DGNX,110.0,7.0,6.8
59,WKHS,2.19,0.13,6.35
60,DBI,4.04,0.24,6.32
61,CATO,3.23,0.19,6.25
62,TBBB,25.7,1.5,6.2
63,DTIL,5.32,0.3,6.09
64,SSTI,18.53,1.06,6.07
65,IMCR,30.44,1.74,6.04
66,ALLT,6.3,0.35,5.88
67,VG,11.85,0.65,5.8
68,AMPX,2.33,0.13,5.76
69,DRI,198.74,10.59,5.63
70,AIFF,5.09,0.27,5.6
71,XIFR,9.56,0.51,5.57
72,SLQT,3.81,0.2,5.54
73,ELVA,2.87,0.15,5.51
74,PAL,10.39,0.54,5.48
75,NIXX,2.22,0.12,5.45
76,JTAI,5.47,0.28,5.39
77,MTEN,5.42,0.28,5.34
78,LWAY,23.81,1.2,5.31
79,CVNA,185.4,9.31,5.29
80,IGIC,26.98,1.35,5.29
81,BCAX,13.05,0.65,5.24
82,SGMT,4.05,0.2,5.19
83,ACB,4.57,0.23,5.18
84,VOXR,2.86,0.14,5.15
85,NVCT,9.42,0.46,5.13
86,XCUR,13.56,0.66,5.12
87,CATX,2.48,0.12,5.08
88,GRI,7.04,0.34,5.07
89,SEAT,3.02,0.14,5.03
90,IBIO,4.61,0.22,5.01
91,GLUE,7.03,0.33,4.93
92,CAMT,67.84,3.17,4.9
93,ANGO,9.86,0.46,4.89
94,SQNS,2.4,0.11,4.8
95,BLND,3.72,0.17,4.79
96,BASE,14.22,0.64,4.71
97,CAVA,84.76,3.76,4.64
98,SRI,5.32,0.23,4.63
99,IH,2.74,0.12,4.58
