,symbol,price,price_change,price_percent_change
0,NAOV,3.72,1.51,68.64
1,ANNX,3.36,0.76,29.23
2,LAES,3.83,0.51,15.39
3,QUBT,8.12,1.03,14.53
4,CRVO,7.27,0.83,12.89
5,LAZR,5.69,0.64,12.67
6,WRD,19.8,1.4,7.61
7,ECX,2.91,0.2,7.38
8,HSAI,21.1,1.3,6.57
9,QFIN,45.8,2.61,6.04
10,AEO,11.7,0.64,5.74
11,PPTA,10.4,0.56,5.69
12,QMCO,16.16,0.82,5.35
13,ZIM,19.16,0.92,5.02
14,LU,3.34,0.15,4.7
15,QBTS,10.62,0.47,4.61
16,XNET,4.8,0.21,4.58
17,NIU,2.84,0.12,4.41
18,NCLH,19.98,0.79,4.09
19,HBM,8.04,0.31,4.01
20,BTG,3.08,0.12,3.89
21,OKLO,28.65,0.93,3.35
22,AG,6.9,0.21,3.22
23,BIDU,96.82,3.0,3.2
24,INTC,24.82,0.77,3.18
25,QS,4.49,0.13,2.87
26,NVTS,2.57,0.07,2.8
27,CCL,20.46,0.54,2.71
28,AMD,103.56,2.59,2.56
29,LCID,2.14,0.05,2.38
30,WPM,75.53,1.71,2.32
31,FLNC,5.24,0.11,2.23
32,NFLX,938.4,20.41,2.22
33,XP,15.0,0.33,2.22
34,SMCI,43.1,0.93,2.21
35,CDE,6.16,0.13,2.16
36,M,13.36,0.28,2.15
37,LTBR,9.53,0.18,1.93
38,IOVA,3.66,0.07,1.81
39,EXPE,165.02,2.9,1.79
40,ACHR,8.04,0.14,1.77
41,RCAT,5.76,0.1,1.77
42,MU,102.56,1.77,1.76
43,NGD,3.24,0.06,1.72
44,TCOM,62.81,1.06,1.72
45,PLTR,87.72,1.48,1.72
46,ENVX,7.78,0.13,1.7
47,MIST,2.21,0.04,1.69
48,DNUT,5.45,0.09,1.68
49,VOD,9.71,0.16,1.68
50,ABNB,124.86,2.0,1.62
51,WB,10.72,0.17,1.56
52,TAL,13.5,0.2,1.54
53,SBSW,3.99,0.06,1.53
54,UAA,6.8,0.1,1.49
55,ADM,47.88,0.7,1.48
56,JOBY,6.33,0.09,1.44
57,GOLD,19.04,0.26,1.38
58,TIGR,7.76,0.11,1.38
59,SBLK,16.82,0.22,1.33
60,RDFN,10.84,0.14,1.31
61,RKLB,19.06,0.25,1.31
62,TME,12.71,0.16,1.27
63,APP,296.56,3.67,1.25
64,XPEV,24.02,0.29,1.22
65,KGC,11.76,0.13,1.16
66,RIG,3.08,0.04,1.15
67,DOCU,86.69,0.93,1.08
68,JD,43.62,0.46,1.07
69,NKE,72.42,0.76,1.06
70,CNH,13.06,0.14,1.04
71,AGNC,10.34,0.1,1.01
72,VTRS,9.19,0.09,1.0
73,VALE,9.9,0.1,0.97
74,EXK,4.76,0.04,0.95
75,ARM,119.04,1.09,0.93
76,ITUB,6.04,0.06,0.92
77,RIVN,10.84,0.1,0.88
78,PEP,149.88,1.29,0.87
79,APA,19.78,0.17,0.87
80,IQ,2.37,0.02,0.86
81,GRAB,4.43,0.04,0.8
82,MCHP,53.92,0.42,0.79
83,BX,142.0,1.11,0.79
84,DVN,34.82,0.27,0.78
85,RUN,6.55,0.05,0.77
86,LYFT,12.01,0.09,0.76
87,TSCO,52.22,0.39,0.75
88,ADT,7.54,0.06,0.74
89,BKR,43.15,0.31,0.72
90,EBAY,65.75,0.47,0.72
91,PDD,123.4,0.86,0.7
92,CELH,27.27,0.19,0.7
93,PARA,11.72,0.08,0.69
94,NOK,5.37,0.04,0.68
95,HST,15.01,0.1,0.67
96,ABEV,2.32,0.01,0.65
97,OKTA,113.24,0.69,0.61
98,SAN,6.81,0.04,0.59
99,BEKE,24.53,0.14,0.57
