,symbol,price,price_change,price_percent_change
0,CERT,13.97,1.06,8.21
1,VKTX,25.79,3.57,16.07
2,GGAL,61.54,7.67,14.23
3,CRSP,39.82,0.52,1.32
4,GLNG,37.88,0.61,1.63
5,XPEV,20.82,0.82,4.10
6,PCVX,32.26,1.06,3.40
7,BBAR,19.60,1.81,11.33
8,BMA,88.71,9.86,12.50
9,MSTR,308.15,8.17,2.72
10,AU,41.65,-1.15,-2.68
11,MP,24.83,2.15,9.46
12,MPWR,557.08,23.95,4.49
13,RNECY,5.90,0.52,9.67
14,HCM,14.43,0.7,5.14
15,TGS,25.39,2.1,9.02
16,YPF,34.50,4.47,14.89
17,DELL,88.27,6.34,7.74
18,MRUS,42.57,0.6,1.43
19,VONOY,15.35,1.22,8.63
20,IMPUY,6.06,0.48,8.60
21,CRNX,29.76,0.65,2.23
22,ANGPY,6.01,0.46,8.29
23,HCC,48.08,0.71,1.50
24,VIST,42.85,4.7,12.33
25,NEM,53.58,-1.39,-2.53
26,CDE,5.83,-0.09,-1.52
27,ORLA,10.43,-0.19,-1.84
28,GLNCY,6.82,0.47,7.40
29,HII,217.90,2.16,1.00
30,AGX,153.02,4.85,3.27
31,CRK,19.76,0.39,2.00
32,IONQ,28.00,1.91,7.32
33,ALVO,8.80,0.01,0.11
34,STX,75.05,4.9,6.99
35,PAM,76.62,7.04,10.11
36,MRNA,26.79,0.59,2.25
37,SLNO,68.60,1.36,2.03
38,JSAIY,12.54,0.81,6.91
39,ASXFY,43.40,2.78,6.84
40,GT,9.69,0.02,0.21
41,AAPL,212.58,14.43,7.28
42,PTCT,44.00,1.02,2.37
43,RGEN,125.54,2.68,2.20
44,MOS,25.75,-0.06,-0.25
45,OKLO,24.27,1.77,7.88
46,CSWI,303.21,2.6,0.86
47,MARA,12.92,0.41,3.28
48,FAST,81.00,0.36,0.45
49,FCX,33.35,2.0,6.38
50,ARGX,587.63,6.69,1.15
51,XIACF,5.78,0.34,6.25
52,GH,45.07,1.36,3.11
53,SCGLY,8.68,0.51,6.24
54,TSCDY,13.12,0.77,6.23
55,RNA,25.58,1.47,6.10
56,RVMD,36.64,0.92,2.58
57,TWST,38.85,2.22,6.06
58,HPQ,24.89,1.44,6.16
59,SWTX,37.98,1.51,4.14
60,ZLAB,31.59,2.05,6.96
61,SKBSY,20.65,1.15,5.90
62,BIO,249.55,3.75,1.53
63,INSM,69.50,0.93,1.35
64,GEO,29.50,0.49,1.67
65,BVN,14.61,-0.19,-1.29
66,SPGYF,5.55,0.3,5.71
67,DNNGY,14.16,0.76,5.67
68,SNRE,50.65,-0.04,-0.08
69,SMCI,34.94,1.79,5.40
70,SHG,32.46,1.73,5.63
71,ASX,8.23,-0.07,-0.84
72,CCJ,41.92,1.08,2.66
73,JHX,22.55,1.19,5.57
74,FNV,164.15,-2.1,-1.26
75,GME,26.70,0.3,1.13
76,MKTX,221.99,0.18,0.08
77,MEDP,297.86,0.14,0.05
78,BIDU,85.24,2.51,3.03
79,MT,26.88,0.02,0.07
80,QXO,14.04,0.13,0.94
81,NTES,100.28,0.93,0.94
82,AVAV,149.04,2.71,1.85
83,MITEY,17.17,0.85,5.21
84,PTON,5.89,0.31,5.58
85,CLSK,7.79,0.29,3.85
86,VRT,73.07,3.46,4.98
87,VCYT,32.65,0.85,2.66
88,ALNY,237.74,-0.03,-0.01
89,UMC,6.86,-0.01,-0.13
90,UPST,41.09,2.1,5.40
91,ICL,6.28,0.0,0.00
92,STNE,11.77,0.24,2.12
93,CRZBY,25.42,1.21,5.00
94,BOLSY,6.11,0.0,0.00
95,GFI,23.01,-1.55,-6.31
96,BBIO,34.48,0.57,1.68
97,CIVI,28.66,1.35,4.94
98,VRN,5.88,0.14,2.43
99,XIACY,28.93,1.36,4.93
100,HOG,22.79,0.25,1.11
101,BABA,113.29,5.56,5.16
102,AMAT,146.66,1.72,1.19
103,HKXCY,40.99,1.89,4.83
104,KTOS,33.31,0.07,0.23
105,ADMA,20.39,0.99,5.10
106,BAYRY,5.90,0.27,4.80
107,BILI,17.26,0.58,3.48
108,FANG,132.96,3.95,3.06
109,NBIX,93.66,2.79,3.07
110,NCLH,17.08,0.76,4.66
111,BE,18.11,0.48,2.70
112,BALL,48.35,0.26,0.55
113,PKX,44.71,-0.92,-2.03
114,CHX,24.83,0.36,1.49
115,SSRM,10.57,-0.08,-0.75
116,KEP,8.16,0.36,4.62
117,CFLT,22.53,1.02,4.74
118,WF,33.68,1.48,4.60
119,ING,18.23,0.01,0.05
120,DSFIY,10.04,0.44,4.58
121,PR,11.42,0.38,3.44
122,TEM,43.95,1.83,4.34
123,TRP,47.52,0.05,0.11
124,NABZY,10.61,0.46,4.53
125,SRPT,53.25,2.22,4.35
126,HPE,14.75,0.61,4.31
127,PFSI,93.31,4.03,4.51
128,MUR,21.47,0.6,2.87
129,SQM,35.62,0.8,2.30
130,RBRK,61.66,2.65,4.49
131,HLN,9.94,-0.12,-1.19
132,KYOCY,11.27,0.48,4.45
133,MTD,"1,041.90",44.21,4.43
134,GPOR,171.89,4.07,2.43
135,MUFG,11.61,0.02,0.17
136,DHR,191.47,2.74,1.45
137,LI,23.66,0.43,1.85
138,ACLX,60.91,1.76,2.98
139,CASY,460.00,2.75,0.60
140,TS,32.23,-0.11,-0.34
141,SGAPY,27.40,1.15,4.38
142,HALO,60.92,0.7,1.16
143,YOU,28.30,1.28,4.74
144,SLB,34.45,0.49,1.44
145,IBDRY,68.01,2.84,4.36
146,NPSCY,6.95,0.29,4.35
147,DNBBY,23.97,1.0,4.35
148,SAND,7.76,-0.16,-1.97
149,BMWKY,25.57,1.06,4.32
150,PTEN,5.89,0.13,2.25
151,FOLD,6.74,0.26,3.92
152,CAMT,61.94,2.04,3.41
153,SAABY,21.59,0.89,4.30
154,IBKR,176.12,4.77,2.78
155,DB,22.98,0.56,2.50
156,RWEOY,37.58,1.53,4.24
157,ACHR,7.39,0.36,5.19
158,VIRT,38.27,1.24,3.36
159,XP,13.66,0.2,1.52
160,DOW,29.31,0.88,3.10
161,PDD,95.45,4.95,5.47
162,CNI,99.90,0.14,0.15
163,BHP,45.64,0.39,0.86
164,MTDR,41.02,1.61,4.09
165,RYAAY,44.63,0.48,1.09
166,TFPM,21.20,-0.24,-1.12
167,BROS,59.49,1.88,3.27
168,BCO,86.40,3.34,4.02
169,ASTS,24.22,0.94,4.05
170,CHRD,91.90,2.57,2.87
171,FSM,6.28,-0.2,-3.09
172,BERY,67.23,0.15,0.22
173,LHX,221.00,-1.03,-0.46
174,RIOT,7.33,0.27,3.82
175,BCH,26.45,1.01,3.97
176,VFC,11.70,0.6,5.36
177,CUK,16.54,0.61,3.83
178,TSM,158.30,1.22,0.78
179,NXT,39.68,0.45,1.15
180,DUOL,338.86,9.51,2.90
181,HWKN,116.89,2.11,1.84
182,ALB,59.00,2.33,4.13
183,BBVA,13.08,0.05,0.38
184,AMD,96.84,3.44,3.68
185,AI,21.39,0.8,3.89
186,ITRI,102.83,1.83,1.81
187,EXE,105.40,1.98,1.91
188,SMPNY,15.00,0.56,3.88
189,SHEL,62.70,0.61,0.98
190,COMP,7.76,0.25,3.33
191,VTRS,7.61,0.07,0.93
192,SU,33.99,0.54,1.61
193,BUR,12.93,0.25,1.97
194,HESAY,266.40,9.87,3.85
195,VVV,34.36,0.35,1.03
196,SOUHY,8.64,0.32,3.85
197,CHT,40.29,1.49,3.84
198,AA,25.50,0.75,3.03
199,MGY,20.90,0.52,2.55
