,symbol,price,price_change,price_percent_change
0,DOCU,81.42,6.72,9.00
1,ULTA,340.51,26.04,8.30
2,BEKE,24.25,1.81,8.06
3,IONQ,22.53,1.16,5.43
4,ALGM,26.64,0.4,1.52
5,FUTU,115.04,7.52,7.01
6,SLNO,49.42,0.39,0.80
7,MNSO,20.73,1.01,5.11
8,HSAI,21.00,0.44,2.13
9,SSRM,10.69,-0.01,-0.14
10,APP,284.44,12.44,4.57
11,CVNA,174.28,7.61,4.57
12,SHOP,93.48,2.89,3.19
13,SYM,21.31,0.75,3.61
14,MSTR,274.49,11.23,4.27
15,MU,100.25,5.38,5.67
16,FINV,8.61,0.31,3.80
17,TEM,43.80,1.63,3.88
18,PONY,13.35,0.54,4.22
19,CC,14.24,0.54,3.94
20,VRT,87.21,4.12,4.96
21,AES,12.43,0.15,1.22
22,PDD,122.65,3.89,3.28
23,SMCI,40.62,1.54,3.94
24,VIST,49.16,1.81,3.82
25,ABM,47.06,1.55,3.41
26,ZTO,20.06,0.65,3.35
27,UPST,48.08,1.77,3.82
28,SARO,29.01,0.03,0.12
29,NOC,487.98,-2.61,-0.53
30,SAN,6.66,0.21,3.26
31,BILL,45.42,1.39,3.16
32,RUM,7.84,0.27,3.57
33,AFRM,48.54,1.64,3.51
34,TEAM,213.95,5.95,2.86
35,TCOM,62.96,2.16,3.55
