,symbol,price,price_change,price_percent_change
0,NAOV,9.88,6.94,236.05
1,FATN,15.75,10.0,173.91
2,JZXN,3.77,1.13,42.53
3,SOBR,6.26,1.37,28.02
4,TOPW,2.65,0.55,26.29
5,AGL,5.26,1.0,23.65
6,SPIR,9.06,1.58,21.12
7,REVB,3.26,0.56,20.55
8,TNXP,21.3,3.5,19.65
9,VEEE,2.8,0.45,19.16
10,STAK,3.1,0.49,18.77
11,SIGA,6.3,0.97,18.23
12,METC,7.84,1.16,17.29
13,PCRX,26.59,3.68,16.06
14,GPUS,2.53,0.35,16.06
15,VG,8.1,1.1,15.71
16,CRMD,7.01,0.94,15.49
17,NTRP,5.84,0.72,14.12
18,GDC,2.31,0.27,13.24
19,CLNN,3.01,0.35,13.16
20,VERO,2.78,0.32,13.01
21,NXDT,4.04,0.46,12.85
22,ONIT,29.48,3.18,12.09
23,CNR,72.68,7.76,11.96
24,NEXT,6.67,0.69,11.54
25,LOCO,10.32,1.04,11.26
26,BTU,11.46,1.15,11.14
27,GRAB,3.86,0.38,11.04
28,EHLD,4.52,0.44,10.78
29,HUM,281.85,27.14,10.66
30,CLOV,3.54,0.34,10.44
31,CVNA,185.26,17.39,10.36
32,NXU,2.47,0.23,10.27
33,ALHC,19.56,1.74,9.74
34,INM,2.26,0.2,9.67
35,RYTM,60.0,5.04,9.17
36,IGIC,23.24,1.95,9.16
37,SNDK,34.35,2.87,9.12
38,SMTK,2.54,0.21,9.01
39,HCC,44.46,3.59,8.78
40,LFCR,5.54,0.43,8.53
41,RIME,2.38,0.18,8.45
42,ICON,2.2,0.17,8.37
43,LOCL,3.77,0.29,8.31
44,HNRG,11.22,0.86,8.26
45,NOTV,2.55,0.19,8.05
46,LOAR,77.6,5.75,8.0
47,TKNO,4.87,0.36,7.98
48,MYTE,7.07,0.51,7.77
49,ASTH,31.48,2.19,7.48
50,SLQT,3.38,0.23,7.46
51,ABVX,5.61,0.38,7.27
52,SUUN,2.52,0.17,7.23
53,REBN,3.38,0.23,7.14
54,HRTG,15.3,1.01,7.05
55,TBBK,43.77,2.84,6.94
56,DOMO,7.67,0.49,6.82
57,CVS,68.18,4.33,6.79
58,FORD,5.55,0.34,6.53
59,VIK,36.34,2.2,6.44
60,JXG,2.15,0.13,6.43
61,PPTA,9.55,0.57,6.35
62,BIRD,4.55,0.27,6.31
63,NYXH,6.07,0.36,6.3
64,RNR,234.25,13.88,6.3
65,CYBR,325.06,19.09,6.24
66,AVGO,163.72,9.57,6.21
67,BGC,7.96,0.46,6.13
68,GV,2.39,0.14,6.11
69,BWXT,95.49,5.47,6.08
70,TPCS,2.27,0.13,6.07
71,UNH,556.3,31.6,6.02
72,KTOS,29.93,1.69,5.98
73,NUTX,79.9,4.5,5.98
74,ASLE,7.15,0.4,5.93
75,WDC,33.0,1.84,5.91
76,DATS,2.78,0.15,5.89
77,SMC,28.28,1.56,5.86
78,AMR,115.96,6.42,5.86
79,MFG,4.55,0.25,5.81
80,WOOF,3.06,0.17,5.7
81,NU,10.27,0.55,5.61
82,DTIL,4.64,0.24,5.57
83,MRVL,53.82,2.81,5.52
84,SLN,2.51,0.13,5.46
85,STRL,114.95,5.85,5.36
86,CEG,189.43,9.64,5.36
87,KLAC,636.69,32.07,5.3
88,SUPV,11.12,0.56,5.3
89,SATS,22.33,1.12,5.28
90,LUCK,8.59,0.43,5.27
91,CCL,17.28,0.85,5.2
92,LUNR,7.49,0.37,5.2
93,EHTH,6.1,0.3,5.17
94,MDWD,15.85,0.77,5.11
95,SKWD,50.42,2.44,5.09
96,ORLA,8.65,0.42,5.07
97,FFWM,4.88,0.23,5.05
98,CRNC,7.3,0.35,5.04
99,MD,13.8,0.66,5.02
