,symbol,price,price_change,price_percent_change
0,WIT,2.85,0.06,2.15
1,BAC,34.91,0.52,1.51
2,EXC,44.91,-0.44,-0.97
3,CTAS,187.62,-2.71,-1.42
4,HRZN,8.34,-0.16,-1.88
5,EBAY,61.2,-1.2,-1.92
6,BKR,34.6,-0.81,-2.29
7,CSCO,53.22,-1.32,-2.42
8,MSFT,350.21,-9.63,-2.68
9,HST,12.77,-0.37,-2.82
10,VALE,8.76,-0.32,-3.47
11,PTEN,5.46,-0.2,-3.53
12,FIP,3.59,-0.14,-3.75
13,ADBE,335.54,-13.53,-3.88
14,GRAB,3.58,-0.15,-4.02
15,LCID,2.16,-0.12,-5.26
16,DDOG,83.28,-4.65,-5.29
17,BHC,5.03,-0.3,-5.63
18,AAPL,176.45,-11.93,-6.33
19,AMD,80.0,-5.76,-6.72
20,NIO,3.2,-0.27,-7.66
21,ENB,40.01,-3.34,-7.7
22,RGTI,6.9,-0.6,-8.0
23,GRRR,15.5,-1.35,-8.01
24,STLA,8.93,-0.8,-8.18
25,ARM,80.44,-7.28,-8.29
26,EPD,28.27,-2.58,-8.36
27,ENVX,5.76,-0.55,-8.72
28,ET,14.72,-1.44,-8.9
29,SOUN,6.65,-0.67,-9.2
30,CRDO,30.08,-3.22,-9.67
31,RKLB,14.78,-1.59,-9.71
