,symbol,price,price_change,price_percent_change
0,BULL,75.74,62.49,471.64
1,USAR,12.81,4.5,54.15
2,THRD,5.08,1.45,39.7
3,MTSR,18.83,4.83,34.5
4,WGRX,3.76,0.87,30.1
5,NAOV,8.37,1.6,23.63
6,WTF,7.8,1.48,23.42
7,NB,2.54,0.47,23.06
8,VERV,4.01,0.75,23.01
9,FATN,7.8,1.44,22.62
10,BETR,12.6,2.32,22.57
11,SOND,2.76,0.51,22.44
12,CAPS,2.88,0.49,20.8
13,ZYBT,4.86,0.8,19.7
14,MP,27.02,4.34,19.14
15,JNVR,60.95,9.74,19.02
16,CRML,2.52,0.36,16.68
17,BCTX,5.02,0.67,15.4
18,SUPV,15.01,1.92,14.67
19,BMA,90.3,11.46,14.53
20,AEHL,3.2,0.37,13.07
21,GGAL,60.91,7.04,13.07
22,NIU,3.12,0.36,13.04
23,NVA,12.43,1.43,13.0
24,BBAR,20.07,2.28,12.82
25,SATL,4.22,0.47,12.53
26,AREB,6.98,0.77,12.4
27,BYRN,20.15,2.22,12.38
28,MB,3.59,0.39,12.29
29,QD,2.66,0.29,12.19
30,IOTR,3.8,0.41,11.95
31,JFIN,11.25,1.16,11.5
32,TECX,18.01,1.85,11.45
33,JKS,16.0,1.58,10.99
34,EDN,31.86,3.12,10.86
35,PAM,76.82,7.24,10.4
36,LOMA,11.05,1.04,10.39
37,GPCR,17.55,1.65,10.38
38,YPF,33.12,3.08,10.27
39,DXF,6.39,0.59,10.17
40,SION,8.67,0.8,10.17
41,CEPU,11.73,1.03,9.63
42,TGS,27.77,2.38,9.37
43,CRDF,2.7,0.23,9.31
44,CARA,5.35,0.45,9.18
45,IBRX,2.87,0.24,9.13
46,SERV,5.79,0.48,9.04
47,OM,11.06,0.91,8.91
48,CYBN,7.4,0.59,8.75
49,LENZ,22.03,1.77,8.74
50,AMST,2.25,0.18,8.7
51,YRD,5.79,0.46,8.63
52,ORMP,2.29,0.18,8.53
53,VKTX,24.11,1.89,8.51
54,RUN,6.82,0.54,8.51
55,LX,7.22,0.56,8.48
56,AMLX,3.96,0.31,8.39
57,ATAT,24.0,1.79,8.06
58,VLN,2.28,0.17,8.05
59,RYET,5.14,0.38,8.0
60,DAO,7.32,0.54,7.88
61,TURN,3.8,0.28,7.8
62,IRS,13.76,0.99,7.79
63,CSTE,3.2,0.23,7.74
64,QFIN,39.18,2.81,7.73
65,SEDG,13.74,0.98,7.7
66,BZAI,2.8,0.2,7.69
67,PAL,8.18,0.58,7.63
68,China,14.76,1.03,7.54
69,POLA,2.3,0.16,7.48
70,NEXT,7.34,0.49,7.24
71,EH,15.47,1.03,7.13
72,SMMT,24.9,1.66,7.12
73,UAMY,2.98,0.2,6.99
74,VIST,40.81,2.66,6.97
75,BKD,6.15,0.4,6.96
76,SCPH,2.48,0.16,6.9
77,CERT,13.8,0.89,6.89
78,HUYA,3.36,0.21,6.85
79,PLX,2.58,0.17,6.85
80,NMAX,24.4,1.55,6.78
81,AUID,6.06,0.39,6.78
82,AIXI,2.69,0.17,6.75
83,BEAM,16.51,1.04,6.72
84,FLD,2.87,0.18,6.69
85,CDZI,2.56,0.16,6.67
86,MLYS,14.29,0.89,6.64
87,SNDK,34.08,2.11,6.6
88,WFF,3.54,0.22,6.58
89,KNSA,20.56,1.25,6.47
90,PPTA,12.58,0.75,6.34
91,CYD,16.3,0.97,6.33
92,FUTU,85.48,5.08,6.33
93,LFCR,6.18,0.36,6.27
94,XYF,11.44,0.68,6.27
95,BBWI,28.3,1.66,6.21
96,CIIT,2.92,0.17,6.18
97,VSTA,5.16,0.3,6.17
98,ZLAB,31.36,1.82,6.16
99,DOYU,6.42,0.37,6.12
