,symbol,price,price_change,price_percent_change
0,PRTG,11.36,6.26,122.72
1,RGC,38.89,10.65,37.71
2,CBLL,15.05,3.9,34.98
3,MKTW,12.82,2.77,27.56
4,BGLC,2.66,0.49,22.58
5,STAK,1.4,0.25,21.74
6,SLP,31.31,5.57,21.64
7,RXRX,5.43,0.92,20.42
8,WKEY,3.99,0.64,19.1
9,SDGR,22.46,3.25,16.88
10,ZLAB,28.37,4.05,16.65
11,CERT,12.26,1.75,16.6
12,LHSW,3.64,0.51,16.29
13,MBX,7.27,1.0,16.02
14,AREB,8.24,0.99,13.65
15,SMMT,22.89,2.74,13.6
16,NGNE,10.18,1.22,13.55
17,SBSW,4.38,0.49,12.6
18,CELZ,2.03,0.23,12.52
19,RITR,3.38,0.37,12.13
20,SA,12.44,1.27,11.42
21,JNVR,50.09,5.12,11.39
22,HYMC,3.15,0.32,11.31
23,BBAR,17.85,1.79,11.15
24,ABSI,2.72,0.27,11.0
25,CYBN,6.37,0.63,11.0
26,FCUV,4.29,0.41,10.57
27,ZBIO,7.49,0.71,10.51
28,METC,8.52,0.81,10.44
29,CIIT,2.87,0.27,10.43
30,NG,2.76,0.26,10.16
31,KC,13.93,1.28,10.12
32,AU,42.76,3.92,10.08
33,BMA,78.68,7.18,10.04
34,SKE,11.15,1.0,9.85
35,SUPV,12.96,1.15,9.74
36,CEPU,10.82,0.95,9.63
37,BIYA,1.6,0.14,9.59
38,QSG,4.48,0.39,9.54
39,LPG,19.92,1.73,9.48
40,SOGP,2.13,0.18,9.23
41,ONC,227.42,19.11,9.18
42,ABCL,2.26,0.18,8.94
43,CDE,5.97,0.48,8.83
44,EDN,27.72,2.25,8.81
45,GGAL,53.23,4.31,8.81
46,NEM,55.41,4.47,8.78
47,GLNG,36.2,2.81,8.42
48,VERO,4.4,0.34,8.38
49,VLN,2.16,0.16,8.0
50,LOMA,9.82,0.72,7.91
51,China,13.52,0.98,7.86
52,FRO,15.13,1.1,7.84
53,TNK,38.52,2.75,7.7
54,UUUU,4.08,0.29,7.7
55,CYRX,5.63,0.4,7.65
56,INM,2.72,0.19,7.5
57,TEN,15.63,1.09,7.5
58,XPEV,19.3,1.32,7.37
59,TGS,25.0,1.71,7.32
60,SUP,2.36,0.16,7.27
61,MSTR,292.0,19.66,7.22
62,ATYR,2.94,0.2,7.12
63,EGO,19.27,1.27,7.06
64,CNL,10.18,0.67,7.04
65,GNK,12.82,0.83,6.96
66,MASS,4.05,0.26,6.86
67,DAC,73.65,4.73,6.86
68,CVAC,3.06,0.2,6.82
69,PAM,69.43,4.37,6.72
70,CRSP,36.56,2.3,6.71
71,IE,5.34,0.34,6.7
72,GOLD,20.53,1.29,6.69
73,CTGO,11.62,0.72,6.65
74,UAMY,2.72,0.17,6.47
75,AMRK,23.54,1.43,6.44
76,DHT,10.46,0.63,6.35
77,ZIM,13.4,0.8,6.35
78,ABL,7.58,0.45,6.31
79,UEC,4.66,0.28,6.28
80,BVN,14.88,0.88,6.25
81,BIOX,4.34,0.26,6.23
82,SB,3.41,0.2,6.23
83,TK,6.44,0.38,6.19
84,INSW,32.53,1.89,6.15
85,ARGX,579.6,33.38,6.11
86,KALV,11.18,0.64,6.06
87,BTG,3.24,0.18,6.05
88,NIO,3.48,0.2,6.04
89,ORIC,4.57,0.26,6.03
90,OMER,6.21,0.35,5.97
91,FAST,80.3,4.5,5.94
92,IRS,12.67,0.71,5.94
93,HMY,17.07,0.95,5.9
94,JUNE,10.6,0.59,5.9
95,STM,20.05,1.11,5.89
96,ZYME,9.99,0.56,5.88
97,BTU,11.89,0.66,5.88
98,YPF,29.19,1.61,5.84
99,THS,22.91,1.26,5.82
