,symbol,price,price_change,price_percent_change
0,PRTG,8.25,3.15,61.76
1,CBLL,15.0,3.85,34.53
2,MKTW,13.28,3.23,32.14
3,WKEY,4.28,0.93,27.76
4,SDGR,24.52,5.3,27.58
5,RXRX,5.74,1.23,27.27
6,SLP,32.64,6.9,26.81
7,HYFM,2.69,0.54,25.12
8,RGC,35.0,6.76,23.94
9,ABSI,3.02,0.56,23.01
10,CERT,12.88,2.37,22.55
11,NGNE,10.97,2.0,22.3
12,ZLAB,29.56,5.24,21.55
13,SBC,4.1,0.7,20.59
14,BGLC,2.58,0.41,19.12
15,PHAT,4.89,0.79,19.1
16,CYBN,6.8,1.06,18.47
17,MBX,7.41,1.14,18.18
18,ZBIO,8.01,1.23,18.14
19,SLN,2.56,0.37,16.89
20,VMAR,6.76,0.97,16.84
21,ABCL,2.39,0.32,15.46
22,LHSW,3.61,0.48,15.34
23,UPB,7.37,0.97,15.16
24,SMMT,23.2,3.05,15.14
25,AZ,8.0,1.03,14.86
26,NUTX,131.57,16.82,14.66
27,SCPH,2.31,0.29,14.64
28,AXIL,5.1,0.65,14.61
29,OMER,6.72,0.85,14.59
30,IMNM,7.09,0.89,14.35
31,ORIC,4.92,0.61,14.27
32,CRSP,39.15,4.89,14.27
33,OBIO,2.96,0.36,13.85
34,BTU,12.76,1.52,13.58
35,ORGO,4.25,0.5,13.33
36,JNVR,50.94,5.97,13.28
37,METC,8.71,1.0,12.97
38,LPG,20.54,2.35,12.92
39,DNTH,17.59,1.99,12.76
40,KC,14.24,1.59,12.61
41,EDN,28.68,3.21,12.58
42,ZYME,10.62,1.19,12.55
43,SBSW,4.37,0.48,12.34
44,EYPT,5.38,0.58,12.19
45,IMOS,15.34,1.64,11.93
46,SA,12.48,1.32,11.87
47,JSPR,4.15,0.44,11.86
48,SKE,11.35,1.2,11.82
49,GLNG,37.25,3.86,11.56
50,XPEV,20.02,2.04,11.38
51,PCVX,31.17,3.13,11.16
52,NG,2.79,0.28,11.16
53,TPCS,2.4,0.24,11.11
54,DNA,8.11,0.81,11.1
55,MASS,4.21,0.42,11.08
56,RAY,2.61,0.26,11.06
57,YMAB,4.83,0.48,11.03
58,BBAR,17.83,1.77,11.02
59,SVRA,2.93,0.29,10.98
60,ESP,28.37,2.8,10.95
61,SEPN,5.72,0.56,10.95
62,ELVN,16.54,1.63,10.93
63,MPTI,49.04,4.81,10.87
64,OCUL,7.1,0.69,10.85
65,CVAC,3.17,0.31,10.84
66,ETNB,5.52,0.53,10.61
67,SNOA,2.3,0.22,10.58
68,ENTA,4.71,0.45,10.56
69,OLMA,3.77,0.36,10.56
70,FRO,15.5,1.48,10.51
71,ONC,230.15,21.84,10.48
72,BMA,78.96,7.46,10.43
73,SUPV,13.04,1.23,10.41
74,HMR,2.76,0.26,10.4
75,AU,42.88,4.03,10.37
76,LOMA,10.04,0.94,10.33
77,MXCT,2.58,0.24,10.26
78,SEDG,12.76,1.19,10.23
79,ASPI,6.0,0.56,10.22
80,CYRX,5.76,0.53,10.16
81,GGAL,53.88,4.96,10.15
82,ABL,7.85,0.72,10.1
83,ABEO,4.6,0.42,10.05
84,MPWR,532.99,48.28,9.96
85,GNK,13.18,1.19,9.92
86,BLUE,5.13,0.46,9.85
87,MSTR,299.08,26.74,9.82
88,INDO,2.35,0.21,9.81
89,RAIN,2.69,0.24,9.8
90,MLYS,13.38,1.19,9.76
91,TNK,39.26,3.49,9.76
92,TEN,15.95,1.41,9.7
93,HYMC,3.1,0.28,9.72
94,INMB,7.38,0.65,9.66
95,IRON,38.61,3.38,9.59
96,SUP,2.41,0.21,9.55
97,CGON,19.3,1.68,9.5
98,China,13.72,1.19,9.5
99,TEO,11.14,0.96,9.49
