,symbol,price,price_change,price_percent_change
0,ARQT,16.93,2.31,15.75
1,HSAI,22.14,2.34,11.79
2,QFIN,48.20,5.01,11.61
3,TXHPF,20.03,2.03,11.31
4,CALM,91.29,8.26,9.95
5,SAIC,114.56,10.13,9.70
6,ASND,166.40,13.42,8.77
7,CELH,29.43,2.35,8.68
8,QBTS,10.95,0.8,7.88
9,BIDU,101.31,7.49,7.98
10,OTLY,9.55,0.71,8.03
11,INTC,25.90,1.85,7.69
12,MTSUY,18.92,1.34,7.62
13,TCOM,66.47,4.74,7.68
14,LION,8.14,0.55,7.25
15,ORLA,9.31,0.6,6.85
16,TAL,14.23,0.93,6.95
17,CAAP,19.64,1.26,6.83
18,YMM,13.76,0.85,6.55
19,UEC,5.42,0.34,6.68
20,ENPH,61.87,3.74,6.43
21,SSUMY,24.80,1.47,6.30
22,CDE,6.41,0.38,6.27
23,XIACF,7.40,0.43,6.17
24,TKAMY,10.09,0.58,6.10
25,NFE,9.79,0.53,5.72
26,LGND,112.13,5.94,5.59
27,VRNA,65.04,3.65,5.95
28,CVI,20.38,1.15,5.98
29,DPZ,450.45,24.88,5.84
30,PBF,21.98,1.24,5.98
31,VEON,44.47,2.43,5.78
32,KTOS,32.20,1.77,5.82
33,XIACY,36.92,2.04,5.85
34,BDORY,5.02,0.27,5.68
35,AEO,11.68,0.62,5.61
36,RKT,15.66,0.8,5.35
37,KC,18.22,0.91,5.28
38,AES,12.94,0.63,5.16
39,HII,206.33,10.17,5.18
40,AG,7.03,0.35,5.24
41,BILI,22.52,1.08,5.04
42,MNSO,21.74,1.05,5.07
43,M,13.71,0.63,4.82
44,NCLH,20.10,0.91,4.77
45,YOU,25.67,1.15,4.69
46,FINV,9.14,0.43,4.94
47,LITE,66.64,3.03,4.76
48,CSAN,5.53,0.25,4.83
49,HOOD,41.09,1.85,4.71
50,APP,305.94,13.05,4.46
51,BABA,147.66,6.56,4.65
52,XP,15.36,0.69,4.70
53,ENOV,38.75,1.7,4.59
54,ERJ,54.72,2.39,4.57
55,PDD,128.00,5.46,4.46
56,PAYC,217.43,9.44,4.54
57,LIVN,41.03,1.79,4.56
58,LW,53.20,2.25,4.42
59,LKNCY,35.11,1.5,4.46
60,LTH,30.02,1.28,4.45
61,BXP,68.35,2.84,4.34
62,GEV,327.02,13.39,4.27
63,EIX,59.46,2.46,4.32
64,TME,13.10,0.55,4.42
65,RDY,13.23,0.55,4.38
66,CIVI,35.06,1.44,4.30
67,IAC,46.48,1.92,4.31
68,YETI,33.56,1.39,4.32
69,NTOIY,5.13,0.21,4.27
70,BMRRY,14.17,0.58,4.27
71,PTCT,56.80,2.3,4.22
72,AMTM,18.67,0.77,4.27
73,RNA,32.40,1.29,4.15
74,FRO,16.09,0.66,4.28
75,JD,44.90,1.74,4.03
76,LDOS,139.89,5.34,3.97
77,VRN,6.34,0.24,4.02
78,ZTO,20.77,0.81,4.03
79,HBM,8.05,0.32,4.08
80,UWMC,6.20,0.25,4.20
81,ALB,78.18,2.95,3.92
82,WB,10.95,0.4,3.79
83,AAL,11.27,0.4,3.63
84,WFRD,55.24,2.13,4.01
85,CCL,20.66,0.74,3.69
86,CPNG,23.39,0.88,3.89
87,ALIT,6.34,0.23,3.85
88,YY,49.51,1.83,3.84
89,FTI,28.28,1.05,3.84
90,ACI,21.91,0.83,3.91
91,VIPS,17.45,0.63,3.75
92,CACI,387.39,14.06,3.77
93,PAGS,8.14,0.33,4.16
94,LULU,322.69,11.66,3.75
95,FRHC,131.55,4.66,3.67
96,ITUB,6.20,0.22,3.59
97,YUMC,53.19,1.89,3.68
98,FMCKJ,10.88,0.38,3.62
99,UNM,81.70,2.87,3.64
100,CUK,18.61,0.59,3.30
101,VNO,38.15,1.33,3.61
102,UTHR,318.06,10.82,3.52
103,ANF,82.76,2.97,3.72
104,RDNT,48.16,1.62,3.48
105,STNG,40.97,1.4,3.54
106,COHR,66.56,2.26,3.51
107,THC,126.95,4.28,3.49
108,PBR,13.90,0.47,3.46
109,SRPT,100.35,3.16,3.25
110,UHS,173.49,5.82,3.47
111,HGV,36.12,1.2,3.42
112,CROX,102.00,3.4,3.45
113,TNET,77.57,2.62,3.50
114,NFLX,949.39,31.39,3.42
115,WSM,173.42,5.92,3.53
116,ACHC,29.52,0.98,3.43
117,CPRX,21.74,0.72,3.43
118,TNXP,15.51,0.51,3.37
119,MPWR,626.38,20.32,3.35
120,SQM,44.51,1.44,3.34
121,MPC,146.02,4.88,3.45
122,AU,33.31,1.08,3.35
123,LGF-B,8.48,0.27,3.29
124,PAR,60.65,1.92,3.26
125,EC,10.47,0.34,3.31
126,BX,145.34,4.45,3.16
127,HIW,29.09,0.9,3.19
128,DVA,148.08,4.63,3.23
129,ATKR,66.70,2.18,3.38
130,SAND,6.74,0.21,3.29
131,AA,34.65,1.12,3.36
132,MPNGY,46.45,1.44,3.20
133,GLNG,34.97,1.11,3.28
134,MTDR,50.19,1.57,3.23
135,BVN,15.31,0.47,3.17
