,symbol,price,price_change,price_percent_change
0,IBO,4.09,2.01,96.63
1,ALUR,3.6,1.31,57.68
2,GLTO,5.75,1.61,38.89
3,HUHU,6.35,1.61,33.91
4,CLIK,2.68,0.63,30.73
5,RGC,58.69,13.69,30.42
6,TNXP,23.06,4.87,26.75
7,OUST,10.46,2.08,24.76
8,AMPX,2.78,0.47,20.13
9,CRVO,13.86,2.29,19.85
10,JUNE,9.19,1.46,18.96
11,ZYBT,4.78,0.75,18.61
12,AUID,7.42,1.14,18.11
13,GDC,2.76,0.41,17.45
14,LAZR,7.31,1.03,16.42
15,NUKK,18.53,2.51,15.65
16,SMTK,3.4,0.38,12.58
17,SNWV,36.0,4.0,12.5
18,LSB,2.3,0.25,12.38
19,CHCI,7.59,0.81,11.95
20,ALNY,283.08,29.54,11.65
21,SCHL,20.9,2.1,11.17
22,MASK,4.14,0.38,10.11
23,BKKT,11.58,1.06,10.06
24,PHH,12.14,1.11,10.06
25,KBSX,3.19,0.29,10.06
26,NTRP,4.96,0.41,9.01
27,CATO,3.54,0.28,8.58
28,ZH,4.85,0.38,8.5
29,TERN,3.4,0.26,8.28
30,MASS,4.5,0.34,8.15
31,TBH,6.25,0.47,8.13
32,ELAB,6.9,0.5,7.81
33,BHAT,2.91,0.21,7.78
34,NFE,11.14,0.79,7.63
35,CDLX,2.5,0.17,7.51
36,KUKE,2.68,0.18,7.4
37,XERS,5.83,0.4,7.37
38,CYTK,46.24,3.14,7.29
39,MG,10.73,0.72,7.19
40,EPWK,5.08,0.34,7.17
41,NEUP,5.54,0.36,6.95
42,PRCH,6.84,0.44,6.88
43,WKEY,4.54,0.29,6.82
44,RFIL,4.98,0.31,6.75
45,CURV,5.9,0.36,6.6
46,IHS,5.01,0.31,6.6
47,RIVN,11.58,0.69,6.39
48,ROOT,162.35,9.71,6.36
49,AGL,4.36,0.26,6.35
50,QMCO,17.49,1.04,6.32
51,SMCI,41.56,2.46,6.3
52,MGRX,4.62,0.27,6.21
53,AMRC,13.58,0.79,6.18
54,TRVG,5.01,0.29,6.14
55,LCID,2.42,0.14,6.14
56,RR,2.27,0.13,6.07
57,LPRO,3.26,0.18,5.97
58,OABI,2.4,0.14,5.95
59,ARTV,4.28,0.24,5.94
60,GRAL,29.44,1.63,5.84
61,GRRR,25.05,1.38,5.83
62,HKD,2.39,0.13,5.71
63,ABVX,7.46,0.4,5.67
64,EVC,2.15,0.12,5.64
65,HLF,8.44,0.45,5.63
66,CELH,32.95,1.7,5.44
67,UCAR,2.68,0.14,5.29
68,MWYN,4.21,0.21,5.28
69,RDDT,114.46,5.71,5.25
70,W,33.19,1.64,5.2
71,UMAC,7.24,0.35,5.15
72,IONQ,22.21,1.07,5.06
73,KPTI,6.44,0.3,4.97
74,SSP,3.16,0.14,4.8
75,BA,181.08,8.25,4.77
76,MTEN,5.62,0.26,4.75
77,CPRX,24.26,1.09,4.73
78,ENVX,8.34,0.38,4.71
79,ASTS,25.84,1.15,4.66
80,KYTX,2.38,0.1,4.63
81,TEM,50.26,2.22,4.62
82,BGS,7.22,0.32,4.57
83,GME,24.58,1.07,4.55
84,ROKU,77.12,3.3,4.47
85,ADPT,8.09,0.34,4.39
86,ACHR,8.64,0.35,4.29
87,RDHL,2.92,0.12,4.29
88,SIG,58.69,2.39,4.25
89,MODG,6.88,0.27,4.01
90,AEO,12.3,0.47,3.93
91,JOBY,6.58,0.24,3.87
92,MUFG,14.88,0.55,3.84
93,BCRX,7.98,0.29,3.84
94,AVIR,3.27,0.12,3.81
95,CMPX,2.33,0.09,3.79
96,RBLX,60.11,2.19,3.78
97,WGS,100.35,3.64,3.76
98,PTON,6.76,0.24,3.68
99,TSLA,244.88,8.62,3.65
