,symbol,price,price_change,price_percent_change
0,HMY,16.28,1.59,10.82
1,SMMT,20.15,1.92,10.53
2,GFI,23.38,1.83,8.49
3,OR,21.84,1.43,7.01
4,PSMT,91.76,5.97,6.96
5,AU,38.87,2.45,6.71
6,ALHC,19.78,1.24,6.69
7,AGL,5.51,0.33,6.31
8,ORLA,9.89,0.61,6.52
9,IAG,6.88,0.37,5.68
10,AGI,27.99,1.44,5.44
11,AEM,111.52,5.72,5.41
12,EGO,18.00,0.91,5.29
13,LI,22.25,1.11,5.25
14,SAND,7.60,0.37,5.12
15,KGC,13.69,0.67,5.15
16,GDS,20.39,0.96,4.94
17,FNV,157.43,7.21,4.80
18,NEM,50.96,2.21,4.52
19,WPM,77.85,3.23,4.33
20,ACT,34.84,1.47,4.41
21,ASND,143.33,5.49,3.98
22,EQX,6.49,0.24,3.92
23,RGLD,170.97,6.43,3.91
24,HL,5.47,0.19,3.60
25,BJ,117.34,4.24,3.75
26,TFPM,20.60,0.73,3.67
27,MKTX,210.32,7.13,3.51
28,SSDOY,17.10,0.56,3.39
29,KR,67.90,2.07,3.14
30,TAL,9.97,0.32,3.32
31,ERIE,414.85,12.85,3.20
32,AWK,143.21,4.21,3.03
33,FRCOY,32.32,0.98,3.13
34,KNTNF,8.67,0.24,2.85
35,SMSEY,9.12,0.27,3.06
