,symbol,price,price_change,price_percent_change
0,HMY,15.84,1.15,7.83
1,GFI,23.05,1.5,6.96
2,SMMT,19.43,1.2,6.58
3,GDS,20.47,1.03,5.33
4,PSMT,89.97,4.18,4.87
5,AU,38.11,1.69,4.64
6,ALHC,19.41,0.87,4.69
7,ORLA,9.72,0.44,4.74
8,IAG,6.79,0.28,4.30
9,AGL,5.38,0.2,3.76
10,AEM,110.12,4.32,4.08
11,KNTNF,8.77,0.34,4.03
12,NCLTY,11.40,0.44,4.01
13,TAL,10.02,0.37,3.78
14,ACT,34.71,1.34,4.00
15,AGI,27.58,1.04,3.94
16,FNV,155.72,5.5,3.66
17,KGC,13.48,0.46,3.53
18,SAND,7.48,0.25,3.46
19,RGLD,169.74,5.2,3.17
20,TFPM,20.51,0.64,3.21
21,SSDOY,17.05,0.51,3.08
22,EQX,6.43,0.18,2.80
23,OR,21.01,0.6,2.94
24,WPM,76.89,2.26,3.04
25,TTNDY,48.39,1.41,3.00
