,symbol,price,price_change,price_percent_change
0,HMY,16.89,0.77,4.81
1,KC,13.87,1.22,9.64
2,GFI,24.72,1.32,5.62
3,PSMT,91.35,-0.41,-0.45
4,ALHC,19.02,-0.76,-3.82
5,AU,41.71,2.86,7.35
6,ORLA,10.74,0.86,8.76
7,BYDDF,46.65,2.76,6.29
8,AGL,5.53,0.03,0.45
9,EGO,19.09,1.09,6.08
10,IAG,7.16,0.28,4.00
11,EQX,6.78,0.3,4.54
12,ARGX,572.04,25.82,4.73
13,GOLD,20.11,0.87,4.52
14,SAND,7.95,0.36,4.67
15,PAAS,25.93,1.09,4.41
16,FNV,163.45,5.97,3.79
17,KGC,14.29,0.6,4.40
18,FRO,14.71,0.68,4.85
19,ZK,21.39,0.91,4.44
20,NEM,53.67,2.73,5.36
21,ACT,34.79,-0.05,-0.14
22,WPM,80.34,2.44,3.13
23,AEM,117.50,5.95,5.33
24,AGI,29.36,1.4,4.99
25,STM,19.73,0.8,4.23
26,NVO,63.99,2.78,4.54
27,TFPM,20.61,0.74,3.72
28,BJ,116.93,-0.37,-0.31
29,HL,5.72,0.25,4.57
30,MKTX,211.95,1.62,0.77
31,GMAB,18.65,0.64,3.55
32,AA,24.77,1.02,4.32
33,BYDDY,90.36,2.99,3.42
34,ALPMY,8.94,0.29,3.35
35,FRCOY,32.75,1.05,3.31
36,AMD,91.22,2.52,2.84
37,ERIE,419.06,4.21,1.01
38,LI,23.14,0.89,4.00
39,KR,67.90,0.0,0.01
40,TLX,16.25,-0.15,-0.91
41,HBM,6.70,0.18,2.76
42,SMSEY,9.12,0.27,3.06
43,XPEV,19.15,1.18,6.57
