,symbol,price,price_change,price_percent_change
0,DWTX,3.86,0.86,28.67
1,KSCP,3.85,0.85,28.33
2,USAR,14.77,3.02,25.7
3,PHIO,2.75,0.55,25.0
4,VERV,5.12,1.0,24.27
5,IE,6.13,1.08,21.39
6,VCIG,3.11,0.52,20.15
7,FRGE,11.5,1.87,19.44
8,VERO,4.47,0.72,19.1
9,RYET,6.2,0.98,18.82
10,DTIL,5.2,0.74,16.59
11,EOSE,4.92,0.69,16.47
12,IPX,17.45,2.44,16.26
13,AVR,2.99,0.41,15.89
14,BCG,2.5,0.29,13.16
15,RITR,4.18,0.48,12.97
16,AUUD,4.86,0.51,11.78
17,JNVR,73.62,7.68,11.65
18,NB,2.72,0.28,11.48
19,RDW,10.15,1.07,11.73
20,ZYBT,5.7,0.58,11.32
21,YSG,4.09,0.41,11.14
22,MBOT,2.53,0.25,10.96
23,CING,4.46,0.44,10.94
24,MWYN,5.03,0.47,10.31
25,NMAX,28.64,2.64,10.15
26,BCYC,7.78,0.7,9.97
27,TUSK,2.49,0.22,9.69
28,LXEO,2.35,0.2,9.58
29,CTGO,13.5,1.16,9.4
30,ITOS,6.04,0.51,9.22
31,RCKT,6.46,0.55,9.22
32,AEVA,7.83,0.65,9.08
33,ECOR,6.38,0.51,8.59
34,AUID,7.65,0.6,8.51
35,RKLB,20.71,1.58,8.26
36,SSP,2.23,0.17,8.25
37,BGLC,2.5,0.18,7.76
38,AMPY,2.48,0.17,7.61
39,TOPW,2.55,0.18,7.59
40,ERIC,8.01,0.56,7.52
41,DUOT,5.23,0.36,7.39
42,FDMT,2.98,0.2,7.37
43,TTAN,113.1,7.73,7.34
44,HXHX,4.29,0.29,7.25
45,ROLR,2.93,0.19,6.97
46,NXDT,3.74,0.24,6.86
47,DJT,20.22,1.29,6.81
48,CRVS,3.24,0.21,6.8
49,VLN,2.44,0.15,6.77
50,BLBX,3.31,0.21,6.72
51,SKE,12.15,0.75,6.58
52,ANRO,2.22,0.14,6.49
53,SEZL,41.98,2.55,6.47
54,HMR,2.97,0.18,6.45
55,VFS,3.19,0.19,6.33
56,EWTX,13.1,0.77,6.24
57,CVNA,217.49,12.76,6.23
58,TREE,45.67,2.66,6.17
59,NFLX,988.09,56.81,6.1
60,ZBIO,9.01,0.51,6.0
61,ENTA,5.22,0.28,5.78
62,SNCY,10.23,0.55,5.71
63,GRRR,19.13,1.02,5.63
64,ARQ,3.77,0.2,5.61
65,CXDO,4.72,0.25,5.61
66,RAY,2.67,0.14,5.53
67,RGNX,6.68,0.35,5.53
68,CRVO,10.2,0.52,5.34
69,Cayman,6.0,0.3,5.26
70,CRWD,398.45,19.79,5.23
71,ORKA,8.56,0.42,5.16
72,PGY,9.96,0.48,5.1
73,SRZN,9.97,0.48,5.06
74,MMYT,102.9,4.95,5.05
75,PAY,29.39,1.39,4.96
76,COMM,3.61,0.17,4.94
77,PL,3.3,0.15,4.94
78,SRRK,30.36,1.43,4.93
79,PLTR,97.17,4.55,4.91
80,HPE,14.98,0.7,4.9
81,TNXP,16.94,0.79,4.89
82,ALGS,4.84,0.23,4.88
83,FUBO,3.02,0.14,4.86
84,PTCT,47.24,2.16,4.79
85,VSAT,8.8,0.4,4.76
86,UPB,7.94,0.36,4.75
87,SPOT,574.92,25.75,4.69
88,CURI,2.69,0.12,4.67
89,OPBK,11.1,0.49,4.67
90,LU,2.58,0.12,4.66
91,YEXT,6.18,0.28,4.65
92,AMBC,6.98,0.31,4.65
93,STRL,141.47,6.24,4.61
94,MX,2.98,0.13,4.61
95,FULT,16.39,0.72,4.59
96,TMC,2.96,0.13,4.59
97,MXL,10.35,0.45,4.55
98,LTRN,3.69,0.16,4.53
99,YMM,10.3,0.45,4.51
