,symbol,price,price_change,price_percent_change
0,BULL,62.9,49.65,374.72
1,USAR,11.75,3.44,41.4
2,MB,4.52,1.32,41.25
3,THRD,5.09,1.45,39.84
4,WGRX,3.83,0.94,32.53
5,MTSR,18.18,4.18,29.86
6,JNVR,65.94,14.73,28.76
7,FATN,8.11,1.75,27.52
8,VERV,4.12,0.86,26.38
9,ZYBT,5.12,1.06,26.11
10,AUID,7.05,1.37,24.12
11,AREB,7.6,1.39,22.38
12,SOND,2.75,0.5,22.22
13,RNAC,13.0,2.33,21.84
14,MP,27.61,4.93,21.74
15,IOTR,4.11,0.72,21.24
16,AEHL,3.42,0.59,20.85
17,BETR,12.4,2.12,20.62
18,FLD,3.24,0.55,20.45
19,ACON,10.0,1.67,20.05
20,YSXT,4.05,0.67,19.82
21,CAPS,2.85,0.47,19.75
22,SATL,4.47,0.72,19.2
23,GPCR,18.95,3.05,19.18
24,PIII,8.99,1.41,18.6
25,NB,2.44,0.38,18.45
26,SUPV,15.46,2.37,18.07
27,CRML,2.55,0.39,18.06
28,NVCT,9.78,1.47,17.69
29,FORD,5.69,0.85,17.56
30,BKTI,46.37,6.72,16.95
31,PPTA,13.74,1.91,16.15
32,WTF,7.34,1.02,16.14
33,RITR,3.7,0.5,15.62
34,BMA,91.0,12.15,15.41
35,SHMD,3.28,0.43,15.09
36,BBAR,20.42,2.63,14.78
37,LENZ,23.24,2.98,14.71
38,NAOV,7.75,0.98,14.48
39,GGAL,61.43,7.56,14.03
40,CRVO,9.68,1.19,13.95
41,BYRN,20.43,2.5,13.94
42,NMAX,26.0,3.15,13.79
43,NIU,3.13,0.37,13.41
44,CYBN,7.71,0.91,13.38
45,LOMA,11.34,1.33,13.29
46,SION,8.91,1.04,13.21
47,MSPR,2.83,0.33,13.2
48,ALGS,4.61,0.53,12.99
49,JFIN,11.4,1.31,12.98
50,CRDF,2.79,0.32,12.96
51,DSGN,3.25,0.36,12.46
52,SMMT,26.13,2.89,12.44
53,PVLA,24.44,2.68,12.32
54,MCRP,2.93,0.32,12.26
55,BZAI,2.91,0.31,11.92
56,TPST,6.96,0.74,11.9
57,RCKT,6.03,0.64,11.87
58,TIL,16.8,1.77,11.78
59,UAMY,3.12,0.33,11.65
60,VALN,7.02,0.73,11.61
61,DXF,6.47,0.67,11.55
62,CERT,14.4,1.49,11.54
63,DPRO,2.43,0.25,11.47
64,CARA,5.46,0.56,11.43
65,NVA,12.24,1.24,11.27
66,SCPH,2.58,0.26,11.21
67,PAL,8.45,0.85,11.18
68,TGS,28.17,2.78,10.95
69,EDN,31.88,3.14,10.93
70,CNCK,5.5,0.53,10.66
71,VRDN,13.3,1.28,10.65
72,TECX,17.87,1.71,10.58
73,VKTX,24.57,2.35,10.58
74,NTCL,10.2,0.98,10.57
75,PAM,76.89,7.3,10.49
76,AIXI,2.78,0.26,10.32
77,YPF,33.11,3.08,10.26
78,ETON,13.72,1.27,10.2
79,SXTP,3.26,0.3,10.14
80,BHAT,2.3,0.21,10.05
81,MRT,3.2,0.29,9.97
82,RPID,2.22,0.2,9.9
83,BEAM,17.0,1.53,9.89
84,IBRX,2.89,0.26,9.89
85,ENGS,5.36,0.48,9.84
86,AVTX,5.38,0.48,9.8
87,SURG,2.47,0.22,9.78
88,QD,2.6,0.23,9.7
89,RYET,5.22,0.46,9.66
90,IRS,14.0,1.23,9.63
91,NVAX,6.41,0.55,9.39
92,SEDG,13.92,1.16,9.09
93,SERV,5.79,0.48,9.04
94,ASPI,6.53,0.54,9.02
95,VLN,2.3,0.19,9.0
96,ALLT,5.82,0.48,8.99
97,BIRD,4.86,0.4,8.97
98,WAFD,26.74,2.2,8.96
99,PLX,2.62,0.21,8.92
